airport_id,airport_iata,airport_icao,airport_name,airport_city,airport_country,latitude,longitude,affected_date,expiry_date,iscurrent
28,SNU,MUSC,ABEL SANTA MARIA,SANTA CLARA,CUBA,22.493056,-79.938889,2030-12-31T15:04:58,2031-12-31T15:04:58,1
10061,GER,MUNG,RAFAEL PEREZ,NUEVA GERONA,CUBA,21.838333,-82.779167,2030-12-31T15:04:58,2031-12-31T15:04:58,1
7509,GAO,MUGT,MARIANA GRAJALES,GUANTANAMO,CUBA,20.081111,-75.158056,2030-12-31T15:04:58,2031-12-31T15:04:58,1
9053,MOA,MUMO,ORESTES ACOSTA,MOA,CUBA,20.65,-74.929167,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4754,BCA,MUBA,GUSTAVO RIZO,BARACOA,CUBA,20.364722,-74.506667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4012,HOG,MUHG,FRANK PAIS,HOLGUIN,CUBA,20.785556,-76.315,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4700,NBW,MUGM,GUANTANAMO BAY NAS,GUANTANAMO BAY,CUBA,19.906667,-75.206667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
8684,ICR,MUNC,NICARO,NICARO,CUBA,20.683333,-75.533333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
203,\N,MUTD,ALBERTO DELGADO,TRINIDAD,CUBA,21.790278,-79.994444,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2076,\N,MUOC,CAYO COCO,CAYO COCO,CUBA,22.513333,-78.51,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5650,\N,MUCC,JARDINES DEL REY INTL,CAYO COCO,CUBA,22.460833,-78.327778,2030-12-31T15:04:58,2031-12-31T15:04:58,1
9623,\N,MUPB,PLAYA BARACOA,HAVANA,CUBA,23.033333,-82.579167,2030-12-31T15:04:58,2031-12-31T15:04:58,1
11227,\N,MUSN,SIGUANEA,ISLA DE LA JUVENTUD,CUBA,21.633333,-82.95,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4246,GZA,LVGZ,GAZA INTL,GAZA,GAZA,31.246389,34.276111,2030-12-31T15:04:58,2031-12-31T15:04:58,1
389,UAM,PGUA,ANDERSEN AFB,GUAM I,GUAM,13.581111,144.924444,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4694,GUM,PGUM,GUAM INTL,AGANA,GUAM,13.483333,144.796111,2030-12-31T15:04:58,2031-12-31T15:04:58,1
10128,RAS,OIGG,RASHT,RASHT,IRAN,37.323333,49.617778,2030-12-31T15:04:58,2031-12-31T15:04:58,1
11283,SXI,OIBS,SIRRI,SIRRI ISLAND,IRAN,25.908333,54.541667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2937,SRY,OINZ,DASHT-E-NAZ,SARI,IRAN,36.635833,53.193611,2030-12-31T15:04:58,2031-12-31T15:04:58,1
7795,THR,OIII,MEHRABAD INTL,TEHRAN,IRAN,35.688889,51.314722,2030-12-31T15:04:58,2031-12-31T15:04:58,1
11091,SYZ,OISS,SHAHID DASTGHAIB INTL,SHIRAZ,IRAN,29.540278,52.588611,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5515,IHR,OIZI,IRAN SHAHR,IRAN SHAHR,IRAN,27.228889,60.721111,2030-12-31T15:04:58,2031-12-31T15:04:58,1
11088,KSH,OICC,SHAHID ASHRAFI ESFAHANI,KERMANSHAH,IRAN,34.346944,47.156389,2030-12-31T15:04:58,2031-12-31T15:04:58,1
855,BND,OIKB,BANDAR ABBASS INTL,BANDAR ABBASS,IRAN,27.218611,56.377778,2030-12-31T15:04:58,2031-12-31T15:04:58,1
842,BXR,OIKM,BAM,BAM,IRAN,29.084167,58.449722,2030-12-31T15:04:58,2031-12-31T15:04:58,1
13543,JWN,OITZ,ZANJAN,ZANJAN,IRAN,36.774722,48.359167,2030-12-31T15:04:58,2031-12-31T15:04:58,1
11282,SYJ,OIKY,SIRJAN,SIRJAN,IRAN,29.551111,55.671667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
10722,SDG,OICS,SANANDAJ,SANANDAJ,IRAN,35.249167,47.011389,2030-12-31T15:04:58,2031-12-31T15:04:58,1
15,ABD,OIAA,ABADAN,ABADAN,IRAN,30.371111,48.228333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
7317,MRX,OIAM,MAHSHAHR,BANDAR MAHSHAHR,IRAN,30.558889,49.150556,2030-12-31T15:04:58,2031-12-31T15:04:58,1
11915,TBZ,OITT,TABRIZ INTL,TABRIZ,IRAN,38.133889,46.235,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1349,BJB,OIMN,BOJNORD,BOJNORD,IRAN,37.489167,57.306389,2030-12-31T15:04:58,2031-12-31T15:04:58,1
10065,RJN,OIKR,RAFSANJAN,RAFSANJAN,IRAN,30.2975,56.050833,2030-12-31T15:04:58,2031-12-31T15:04:58,1
13530,ZAH,OIZH,ZAHEDAN INTL,ZAHEDAN,IRAN,29.473333,60.903333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
522,ADU,OITL,ARDABIL,ARDABIL,IRAN,38.326667,48.424167,2030-12-31T15:04:58,2031-12-31T15:04:58,1
6727,LVP,OIBV,LAVAN,LAVAN ISLAND,IRAN,26.810278,53.356111,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5623,JAR,OISJ,JAHROM,JAHROM,IRAN,28.586667,53.581111,2030-12-31T15:04:58,2031-12-31T15:04:58,1
856,BDH,OIBL,BANDAR LENGEH,BANDAR LENGEH,IRAN,26.531944,54.824167,2030-12-31T15:04:58,2031-12-31T15:04:58,1
6316,ZBR,OIZC,KONARAK,CHAH BAHAR,IRAN,25.444444,60.383611,2030-12-31T15:04:58,2031-12-31T15:04:58,1
6122,KHD,OICK,KHORAM ABAD,KHORAM ABAD,IRAN,33.438611,48.280833,2030-12-31T15:04:58,2031-12-31T15:04:58,1
6624,LFM,OISR,LAMERD,LAMERD,IRAN,27.373056,53.188056,2030-12-31T15:04:58,2031-12-31T15:04:58,1
10554,ACP,OITM,SAHAND,MARAGHEH,IRAN,37.348056,46.133056,2030-12-31T15:04:58,2031-12-31T15:04:58,1
11095,CQD,OIFS,SHAHRE KORD,SHAHRE KORD,IRAN,32.297222,50.842222,2030-12-31T15:04:58,2031-12-31T15:04:58,1
6095,KER,OIKK,KERMAN,KERMAN,IRAN,30.274444,56.951111,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4475,GBT,OING,GORGAN,GORGAN,IRAN,36.906667,54.405278,2030-12-31T15:04:58,2031-12-31T15:04:58,1
13526,ACZ,OIZB,ZABOL,ZABOL,IRAN,31.098333,61.543889,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4838,HDM,OIHH,HAMADAN,HAMADAN,IRAN,34.869167,48.5525,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1696,BUZ,OIBB,BUSHEHR,BUSHEHR,IRAN,28.949444,50.830278,2030-12-31T15:04:58,2031-12-31T15:04:58,1
6233,KIH,OIBK,KISH,KISH ISLAND,IRAN,26.527222,53.979722,2030-12-31T15:04:58,2031-12-31T15:04:58,1
11090,IFN,OIFM,SHAHID BEHESHTI,ESFAHAN,IRAN,32.750833,51.862778,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3799,FAZ,OISF,FASA,FASA,IRAN,28.892778,53.723611,2030-12-31T15:04:58,2031-12-31T15:04:58,1
48,AEU,OIBA,ABUMUSA,ABUMUSA ISLAND,IRAN,25.876111,55.031667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
125,AWZ,OIAW,AHWAZ,AHWAZ,IRAN,31.3375,48.760278,2030-12-31T15:04:58,2031-12-31T15:04:58,1
10856,CKT,OIMC,SARAKHS,SARAKHS,IRAN,36.488056,61.07,2030-12-31T15:04:58,2031-12-31T15:04:58,1
11907,TCX,OIMT,TABAS,TABAS,IRAN,33.667778,56.8925,2030-12-31T15:04:58,2031-12-31T15:04:58,1
11093,AZD,OIYY,SHAHID SADOOGHI,YAZD,IRAN,31.906111,54.276389,2030-12-31T15:04:58,2031-12-31T15:04:58,1
6113,KHK,OIBQ,KHARK,KHARK ISLAND,IRAN,29.260278,50.323889,2030-12-31T15:04:58,2031-12-31T15:04:58,1
9325,PFQ,OITP,PARSABADE MOGHAN,PARSABADE MOGHAN,IRAN,39.6125,47.854722,2030-12-31T15:04:58,2031-12-31T15:04:58,1
10086,RZR,OINR,RAMSAR,RAMSAR,IRAN,36.909167,50.68,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1237,XBJ,OIMB,BIRJAND,BIRJAND,IRAN,32.898056,59.266111,2030-12-31T15:04:58,2031-12-31T15:04:58,1
11092,MHD,OIMM,SHAHID HASHEMI NEJAD INTL,MASHHAD,IRAN,36.234167,59.645,2030-12-31T15:04:58,2031-12-31T15:04:58,1
12269,TEW,OIBJ,TOHID,JAM,IRAN,27.821944,52.352222,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5852,\N,OINE,KALALEH,KALALEH,IRAN,37.375,55.451944,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4963,\N,OIKP,HAVADARYA,BANDAR ABBASS,IRAN,27.159444,56.171944,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4160,\N,OIAH,GACHSARAN,GACHSARAN,IRAN,30.337778,50.828056,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1247,\N,OINJ,BISHE KOLA AB,BISHE KOLA,IRAN,36.65,52.35,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2965,\N,OIKQ,DAYRESTAN,GHESHM ISLAND,IRAN,26.751111,55.897778,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3211,\N,OIID,DOSHAN TAPPEH AB,TEHRAN,IRAN,35.704167,51.473889,2030-12-31T15:04:58,2031-12-31T15:04:58,1
11094,\N,OIFH,SHAHID VATAN POUR AB,ESFAHAN,IRAN,32.570833,51.695833,2030-12-31T15:04:58,2031-12-31T15:04:58,1
12636,\N,OITR,UROMIYEH,UROMIYEH,IRAN,37.671389,45.069167,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4338,\N,OIIK,GHAZVIN,GHAZVIN,IRAN,36.233333,50.033333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4837,\N,OIHS,HAMADAN AB,HAMADAN,IRAN,35.202778,48.666667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5405,\N,OICI,ILAM,ILAM,IRAN,33.586667,46.404444,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5710,\N,OIKJ,JIROFT,JIROFT,IRAN,28.7275,57.670278,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3088,\N,OIAD,DEZFUL AB,DEZFUL,IRAN,32.433333,48.383333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
9008,\N,OIAJ,OMIDIYEH AB,OMIDIYEH,IRAN,30.833333,49.533333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
487,\N,OIHR,ARAK,ARAK,IRAN,34.136944,49.841944,2030-12-31T15:04:58,2031-12-31T15:04:58,1
9371,\N,OIIP,PAYAM,KARAJ,IRAN,35.779722,50.822778,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5087,\N,OIFE,HESA,ESFAHAN,IRAN,32.928889,51.561111,2030-12-31T15:04:58,2031-12-31T15:04:58,1
8815,\N,OINN,NOSHAHR,NOSHAHR,IRAN,36.663333,51.464722,2030-12-31T15:04:58,2031-12-31T15:04:58,1
6677,\N,OISL,LAR,LAR,IRAN,27.673056,54.387222,2030-12-31T15:04:58,2031-12-31T15:04:58,1
764,\N,OIFP,BADR AB,ESFAHAN,IRAN,32.62,51.690278,2030-12-31T15:04:58,2031-12-31T15:04:58,1
107,\N,OIAG,AGHAJARI,AGHAJARI,IRAN,30.75,49.683333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4335,\N,OIIG,GHALE MORGHI,TEHRAN,IRAN,35.633333,51.383333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
11089,\N,OIAI,SHAHID ASYAEE,MASJED SOLEIMAN,IRAN,32.002222,49.268611,2030-12-31T15:04:58,2031-12-31T15:04:58,1
11096,\N,OIMJ,SHAHROUD,SHAHROUD,IRAN,36.425278,55.104167,2030-12-31T15:04:58,2031-12-31T15:04:58,1
13471,\N,OISY,YASOUJ,YASOUJ,IRAN,30.696944,51.55,2030-12-31T15:04:58,2031-12-31T15:04:58,1
960,BSR,ORMM,BASRAH INTL,BASRAH,IRAQ,30.546389,47.665278,2030-12-31T15:04:58,2031-12-31T15:04:58,1
10541,SDA,ORBS,SADDAM INTL,BAGHDAD,IRAQ,33.242778,44.2375,2030-12-31T15:04:58,2031-12-31T15:04:58,1
10860,VNA,VLSV,SARAVANE,SARAVANE,LAOS,15.709722,106.411111,2030-12-31T15:04:58,2031-12-31T15:04:58,1
7138,LPQ,VLLB,LUANG PRABANG,LUANG PRABANG,LAOS,19.898611,102.1625,2030-12-31T15:04:58,2031-12-31T15:04:58,1
10900,ZBY,VLSB,SAYABOURY,SAYABOURY,LAOS,19.241667,101.708333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
13434,XKH,VLXK,XIENG KHOUANG,XIENG KHOUANG,LAOS,19.45,103.158333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
13065,VTE,VLVT,WATTAY INTL,VIENTIANE,LAOS,17.988333,102.563333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
9145,ODY,VLOS,OUDOMSAY,OUDOMSAY,LAOS,20.680556,101.997222,2030-12-31T15:04:58,2031-12-31T15:04:58,1
10626,NEU,VLSN,SAM NEUA,SAM NEUA,LAOS,20.419444,104.069444,2030-12-31T15:04:58,2031-12-31T15:04:58,1
852,OUI,VLHS,BAN HOUEISAY,BAN HOUEISAY,LAOS,20.258333,100.436111,2030-12-31T15:04:58,2031-12-31T15:04:58,1
661,AOU,VLAP,ATTOPEU,ATTOPEU,LAOS,14.8,106.816667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
9215,PKZ,VLPS,PAKSE,PAKSE,LAOS,15.133333,105.780556,2030-12-31T15:04:58,2031-12-31T15:04:58,1
10893,ZVK,VLSK,SAVANNAKHET,SAVANNAKHET,LAOS,16.55,104.759722,2030-12-31T15:04:58,2031-12-31T15:04:58,1
7137,LXG,VLLN,LUANG NAMTHA,LUANG NAMTHA,LAOS,21.05,101.466667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
12128,THK,VLTK,THAKHEK,THAKHEK,LAOS,17.396944,104.806667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
11051,BKO,GABS,SENOU,BAMAKO,MALI,12.537778,-7.943333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2874,KYS,GAKD,DAG DAG,KAYES,MALI,14.482778,-11.404722,2030-12-31T15:04:58,2031-12-31T15:04:58,1
6044,NRM,GANK,KEIBANE,NARA,MALI,15.233333,-7.266667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3112,KSS,GASO,DIGNANGAN,SIKASSO,MALI,11.598056,-5.798889,2030-12-31T15:04:58,2031-12-31T15:04:58,1
8706,NIX,GANR,NIORO,NIORO,MALI,15.233333,-9.583333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
894,MZI,GAMB,BARBE,MOPTI,MALI,14.508611,-4.084167,2030-12-31T15:04:58,2031-12-31T15:04:58,1
6072,KNZ,GAKA,KENIEBA,KENIEBA,MALI,12.833333,-11.25,2030-12-31T15:04:58,2031-12-31T15:04:58,1
12294,TOM,GATB,TOMBOUCTOU,TOMBOUCTOU,MALI,16.733889,-2.998611,2030-12-31T15:04:58,2031-12-31T15:04:58,1
13482,EYL,GAYE,YELIMANE,YELIMANE,MALI,15.133333,-10.566667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
6333,GAQ,GAGO,KOROGOUSSOU,GAO,MALI,16.248333,-0.005833,2030-12-31T15:04:58,2031-12-31T15:04:58,1
6355,KTX,GAKO,KOUTIALA,KOUTIALA,MALI,12.35,-5.433333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4490,GUD,GAGM,GOUNDAM,GOUNDAM,MALI,16.35,-3.6,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3219,\N,GADZ,DOUENTZA,DOUENTZA,MALI,15,-2.916667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
767,\N,GABF,BAFOULABE,BAFOULABE,MALI,13.8,-10.85,2030-12-31T15:04:58,2031-12-31T15:04:58,1
6310,\N,GAKN,KOLOKANI,KOLOKANI,MALI,13.533333,-8.05,2030-12-31T15:04:58,2031-12-31T15:04:58,1
7552,\N,GAMA,MARKALA,MARKALA,MALI,13.7,-6.066667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
436,\N,GAAO,ANSONGO,ANSONGO,MALI,15.7,0.5,2030-12-31T15:04:58,2031-12-31T15:04:58,1
8681,\N,GANF,NIAFUNKE,NIAFUNKE,MALI,15.933333,-4.016667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1438,\N,GABG,BOUGOUNI,BOUGOUNI,MALI,11.45,-7.516667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
12116,\N,GATS,TESSALIT,TESSALIT,MALI,20.246111,0.980833,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1449,\N,GABR,BOUREM,BOUREM,MALI,17.033333,-0.4,2030-12-31T15:04:58,2031-12-31T15:04:58,1
7822,\N,GAMK,MENAKA,MENAKA,MALI,15.85,2.433333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
6139,\N,GAKL,KIDAL,KIDAL,MALI,18.433333,1.416667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
861,\N,GABD,BANDIAGARA,BANDIAGARA,MALI,14.333333,-3.6,2030-12-31T15:04:58,2031-12-31T15:04:58,1
6241,\N,GAKT,KITA,KITA,MALI,13.066667,-9.483333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
8714,IUE,NIUE,NIUE INTL,NIUE ISLAND,NIUE,-19.077778,-169.926667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
10587,SLL,OOSA,SALALAH,SALALAH,OMAN,17.038611,54.091389,2030-12-31T15:04:58,2031-12-31T15:04:58,1
11005,MCT,OOMS,SEEB INTL,MUSCAT,OMAN,23.592778,58.281667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
7562,OMM,OONR,MARMUL,MARMUL,OMAN,18.141667,55.175278,2030-12-31T15:04:58,2031-12-31T15:04:58,1
6116,KHS,OOKB,KHASAB AB,KHASAB,OMAN,26.183333,56.233333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
12186,TTH,OOTH,THUMRAIT AB,THUMRAIT,OMAN,17.668333,54.021667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3732,\N,OOFD,FAHUD,FAHUD,OMAN,22.348333,56.4825,2030-12-31T15:04:58,2031-12-31T15:04:58,1
3877,\N,OOFQ,FIRQ AB,FIRQ,OMAN,22.866667,57.55,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4811,\N,OOHA,HAIMA,HAIMA,OMAN,19.97,56.278056,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5582,\N,OOIZ,IZKI AB,IZKI,OMAN,22.891667,57.758333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
9993,\N,OOGB,QARN ALAM,GHABA,OMAN,21.376944,57.050556,2030-12-31T15:04:58,2031-12-31T15:04:58,1
241,HUU,SPNC,ALFEREZ DAVID FIGUEROA FERNAN*,HUANUCO,PERU,-9.9,-76.216667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5760,LIM,SPIM,JORGE CHAVEZ INTL,LIMA-CALLAO,PERU,-12.021944,-77.114444,2030-12-31T15:04:58,2031-12-31T15:04:58,1
10684,SJA,SPJN,SAN JUAN DE MARCONA,SAN JUAN DE MARCONA,PERU,-15.35,-75.15,2030-12-31T15:04:58,2031-12-31T15:04:58,1
384,ANS,SPHY,ANDAHUAYLAS,ANDAHUAYLAS,PERU,-13.704167,-73.348056,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2519,AYP,SPHO,COL ALFREDO MENDIVIL DUARTE,AYACUCHO,PERU,-13.151111,-74.201667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
8324,MBP,SPBB,MOYOBAMBA,MOYOBAMBA,PERU,-6.016667,-76.983333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5786,JJI,SPJI,JUANJUI,JUANJUI,PERU,-7.166667,-76.728333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
5657,JAU,SPJJ,JAUJA,JAUJA,PERU,-11.783333,-75.483333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2129,CHH,SPPY,CHACHAPOYAS,CHACHAPOYAS,PERU,-6.2,-77.883333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
4261,CJA,SPJR,GEN ARMANDO REVOREDO IGLESIAS,CAJAMARCA,PERU,-7.132222,-78.488889,2030-12-31T15:04:58,2031-12-31T15:04:58,1
9585,PIO,SPSO,PISCO,PISCO,PERU,-13.744722,-76.220556,2030-12-31T15:04:58,2031-12-31T15:04:58,1
10704,RIM,SPLN,SAN NICOLAS,RODRIGUEZ DE MENDOZA,PERU,-6.283333,-77.433333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
218,CUZ,SPZO,ALEJANDRO VELAZCO ASTETE,CUZCO,PERU,-13.535833,-71.938889,2030-12-31T15:04:58,2031-12-31T15:04:58,1
9390,TBP,SPME,PEDRO CANGA,TUMBES,PERU,-3.549444,-80.378056,2030-12-31T15:04:58,2031-12-31T15:04:58,1
223,ALD,SPAR,ALERTA,ALERTA,PERU,-11.683333,-69.333333,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1925,TYL,SPYL,CAPITAN MONTES,TALARA,PERU,-4.576667,-81.254167,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1891,TRU,SPRU,CAP CARLOS MARTINEZ DE PINILL*,TRUJILLO,PERU,-8.083333,-79.116667,2030-12-31T15:04:58,2031-12-31T15:04:58,1
8081,YMS,SPMS,MOISES BENZAQUEN RENGIFO,YURIMAGUAS,PERU,-5.893611,-76.118056,2030-12-31T15:04:58,2031-12-31T15:04:58,1
10366,AQP,SPQU,RODRIGUEZ BALLON,AREQUIPA,PERU,-16.340556,-71.572778,2030-12-31T15:04:58,2031-12-31T15:04:58,1
2520,TCQ,SPTN,COL CARLOS CIRIANI SANTA ROSA,TACNA,PERU,-18.053333,-70.275833,2030-12-31T15:04:58,2031-12-31T15:04:58,1
12224,TGI,SPGM,TINGO MARIA,TINGO MARIA,PERU,-9.29,-76.005,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1930,PIU,SPUR,CAPT GUILLERMO CONCHA IBERICO,PIURA,PERU,-5.205833,-80.616389,2030-12-31T15:04:58,2031-12-31T15:04:58,1
1893,PCL,SPCL,CAP FAP DAVID ABENZUR RENGIFO,PUCALLPA,PERU,-8.378056,-74.574167,2030-12-31T15:04:58,2031-12-31T15:04:58,1
