booking_id,flight_id,seat,passenger_id,price
830,61201,24A,20721,493.38
840,61201,21G,18086,394.25
850,61201,19A,21751,174.8
860,61201,16B,13886,107.74
870,61201,13G,17757,5.9
880,61201,9C,6497,132.51
890,61201,6D,807,399.77
900,61201,3C,5049,32.09
910,61201,1C,21937,227.93
920,61207,22G,3479,404.69
930,61207,19E,13921,73.29
940,61207,17C,7913,313.85
950,61207,12C,2095,7.62
960,61207,9F,26045,442.39
980,61207,1C,33287,71.53
990,69495,21H,22056,482.42
1000,69495,18C,20501,378.83
1010,69495,13D,10502,29.6
1020,69495,9G,33209,39.6
1030,69495,5G,2977,205.87
1040,69495,2E,23659,178.74
1050,69506,25D,4133,35.59
1060,69506,20G,3032,365.58
1070,69506,17F,19048,198.51
1080,69506,14F,29121,23.03
1090,69506,11A,27458,176.97
1100,69506,7D,15180,13.67
1110,69506,4B,62,24.81
1120,69506,1C,6858,199.32
1130,77578,23B,9804,194.26
1140,77578,18G,11798,59.04
1150,77578,14E,21108,71.13
1160,77578,10G,1917,251.9
1170,77578,6C,24149,392.94
1180,77578,4E,1310,479.65
1190,77578,1E,23161,219.66
1200,77585,22C,11165,329.98
1210,77585,19A,3329,335.48
1220,77585,14D,25031,25.22
1230,77585,11A,12514,461.89
1240,77585,8B,35962,215.26
1250,77585,5G,27181,199.59
1260,77585,2C,8383,317.46
1270,85754,23B,22372,159.77
1280,85754,20G,12026,64.99
1290,85754,16G,20344,261.33
1300,85754,13G,17408,92.07
1310,85754,11H,7895,470.63
1320,85754,8G,14426,72.7
1330,85754,5C,12859,333.73
1340,85754,1A,11725,398.93
1350,85764,23H,1599,140.18
1360,85764,19D,16289,264.51
1370,85764,17E,14460,403.16
1380,85764,13A,19364,438.69
1390,85764,9A,31024,123.1
1400,85764,7G,5180,324.55
1410,85764,4F,15497,129.84
1420,94038,25F,22563,166.73
1430,94038,22C,20832,486.45
1440,94038,17F,12812,92.68
1450,94038,13F,5643,150.84
1460,94038,10F,7937,232.08
1470,94038,6G,3444,315.67
1480,94038,4F,17026,203.33
1490,102148,25B,30257,87.29
1500,102148,20E,8923,270.07
1510,102148,18A,21421,303.93
1530,102148,8G,30682,198.19
1540,102148,5D,31639,219.21
1550,102148,1A,20871,330.79
1560,102150,23D,15761,283.58
1570,102150,20G,18932,157.46
1580,102150,16E,32995,241.61
1590,102150,12B,32837,341.56
1600,102150,10D,29103,273.27
1610,102150,8E,33026,245.83
1620,102150,5F,3942,42.41
1630,102150,2H,891,146.59
1640,102161,22E,8724,406.89
1650,102161,19A,15082,202.05
1660,102161,17C,32255,340.9
1670,102161,13E,32166,54.42
1680,102161,8H,14895,484.29
1690,102161,5E,27526,58.9
1700,102161,2B,1212,263.7
1710,102163,23B,2279,232.41
1720,102163,20A,28794,244.75
1730,102163,16A,15306,488.99
1740,102163,13D,5221,49.05
1750,102163,9B,30903,237.35
1760,102163,7A,30658,152.89
1770,102163,4D,26695,290.92
1780,102163,1E,21799,162.86
1790,102171,23B,26171,420.31
1800,102171,21D,6598,76.3
1810,102171,18B,1167,362.09
1820,102171,14A,23835,14.57
1830,102171,11B,26382,314.83
1840,102171,8B,5744,115.52
1850,102171,5G,17206,243.62
1860,102176,24E,654,56.31
1870,102176,20H,31688,212.89
1880,102176,16B,5939,5.48
1890,102176,14F,8640,383.97
1900,102176,12E,19463,27.54
1910,102176,8B,4300,494.86
1920,102176,4G,34049,474.16
1930,110418,25B,16051,107.55
1940,110418,23G,1225,218.1
1950,110418,19B,30116,306.98
1960,110418,16B,31419,307.35
1970,110418,12H,33474,396.19
1980,110418,8G,23428,232.73
1990,110418,4E,10436,382.03
2000,110424,25B,7143,192.25
2010,110424,21C,26167,231.85
2020,110424,17G,6542,98.76
2030,110424,14E,16271,256.91
2040,110424,10F,33799,257.48
2050,110424,7B,30912,192.71
2060,110424,4G,32635,432.78
2070,110424,1A,32267,340.47
2080,110428,23D,5253,81.98
2090,110428,19E,34643,360.65
2100,110428,16A,19215,30.11
2110,110428,13E,11734,441.07
2120,110428,9D,1755,288.86
2130,110428,6B,25561,185.59
2140,110428,4F,8672,261.52
2150,110428,2C,16644,307.55
2160,110436,22G,10247,483.82
2170,110436,18E,15810,113.49
2180,110436,15B,16238,181.89
2190,110436,12A,17782,253.69
2200,110436,8E,30252,438.35
2210,110436,5H,29569,332.7
2220,110436,2F,10738,327.07
2230,118541,24A,30981,184.62
2240,118541,21D,5198,107.03
2250,118541,18G,29843,77.84
2260,118541,14F,13244,84.97
2270,118541,12F,3036,388.75
2280,118541,9C,1131,82.04
2290,118541,5H,26417,459.02
2300,118541,1B,6466,3.93
2310,118557,23D,25173,28.01
2320,118557,19D,1551,450.8
2330,118557,16H,1733,223.63
2340,118557,11B,26620,351.91
2350,118557,6B,33964,78.59
2360,118557,4G,6349,118.65
2370,126815,25G,12101,137.22
2380,126815,21D,16875,326.58
2390,126815,18E,32017,345.97
2400,126815,13H,33847,73.71
2410,126815,11A,30179,331.57
2420,126815,8A,30771,338.92
2430,126815,6B,18303,487.09
2440,126815,1E,8104,462.62
2450,126838,22F,10543,68.19
2460,126838,17C,14141,330.55
2470,126838,14E,15405,283.52
2480,126838,11D,27717,480.59
2490,126838,7E,3953,464.21
2500,126838,4H,6862,426.44
2510,126849,25D,24522,457.73
2520,126849,22F,7118,447.69
2530,126849,20F,13501,58.41
2540,126849,17G,29429,85.11
2550,126849,14C,3754,430.61
2560,126849,11B,12563,174.87
2570,126849,6C,10192,56.59
2580,126849,2G,22075,106.56
2590,134918,24A,35832,470.69
2600,134918,20C,15275,451.08
2610,134918,17H,12519,84.18
2620,134918,15A,32200,359.48
2630,134918,12E,34844,62.27
2640,134918,8A,23443,257.29
2650,134918,6C,30310,132.94
2660,134918,4E,3585,269.77
2670,143077,25C,10472,300.32
2680,143077,22G,4633,354.85
2690,143077,19B,12999,331.71
2700,143077,15A,20333,334.02
2710,143077,12B,4967,258.72
2720,143077,8B,25342,329.11
2730,143077,5D,20374,172.58
2740,143086,25B,22499,72.4
2750,143086,22F,22869,164.16
2760,143086,18F,21504,370.69
2770,143086,15C,35345,63.1
2780,143086,13E,32138,8.1
2790,143086,10A,9280,286.36
2800,143086,6D,10145,117.01
2810,143086,1G,31252,379.45
2820,143106,23E,31613,423.08
2830,143106,20C,22741,246.53
2840,143106,17E,35760,76.97
2850,143106,13G,8870,245.18
2860,143106,10G,35403,61.24
2870,143106,7C,697,150.06
2880,143106,3A,2552,253.49
2890,151386,24H,12966,57.16
2900,151386,21D,7003,471.18
2910,151386,17F,29007,70.86
2920,151386,12C,32988,209.55
2930,151386,7A,21436,74.95
2940,151386,4G,10277,242.41
2950,159496,25B,1033,399.55
2960,159496,22C,34324,328.93
2970,159496,19A,15004,366.1
2980,159496,16H,22139,164.6
2990,159496,13E,6142,243.13
3000,159496,10G,6892,217.71
3010,159496,8E,17432,54.38
3020,159496,2F,21600,252.3
3030,159516,24G,25576,342.47
3040,159516,20H,25241,382.95
3060,159516,13G,725,113.71
3070,159516,10B,26061,325.88
3080,159516,6E,11864,56.38
3090,159516,4G,24867,468.94
3100,159516,2B,1652,370.57
3110,167751,24H,8373,297.56
3120,167751,20G,35340,48.22
3130,167751,17A,3991,4.13
3140,167751,13G,13248,236.29
3150,167751,11H,2158,388.94
3160,167751,7A,17255,14.66
3170,167751,4G,10655,232.6
3190,167755,21C,25122,15.66
3200,167755,18G,16911,80.75
3210,167755,15C,7071,214.06
3220,167755,13D,4220,320.85
3230,167755,10B,35504,437.65
3240,167755,4C,7256,374.56
3250,167755,1D,33715,218.58
3260,167782,22B,16340,251.2
3270,167782,18E,31245,76.19
3280,167782,14E,18436,151.89
3290,167782,11F,35898,272.36
3300,167782,8A,9267,322.6
3310,167782,5F,33399,404.13
3320,167782,3G,15282,340.52
3330,175886,25F,14779,131.89
3340,175886,22B,24853,290.63
3350,175886,20H,5917,92.43
3360,175886,17F,18138,359.47
3370,175886,14C,28851,3.61
3380,175886,9G,30824,474.42
3390,175886,5H,8874,185.02
3400,175886,2F,3526,377.12
3410,175890,23A,15696,46.3
3420,175890,19B,9257,362.36
3430,175890,16G,3294,28.91
3440,175890,13F,26630,473.79
3450,175890,9F,13224,124.48
3460,175890,4F,1825,99.22
3470,175890,1C,12425,11.97
3480,184181,22F,24953,172.68
3490,184181,20F,1826,396.41
3500,184181,17F,13445,175.87
3510,184181,14H,35109,129.05
3520,184181,11A,27133,448.22
3530,184181,7C,19897,342.57
3540,184181,3E,9827,423.03
3550,184186,25F,24326,235.5
3560,184186,21H,12900,103.67
3570,184186,19G,33126,116.75
3580,184186,13H,18271,273.41
3590,184186,9G,29055,374.06
3600,184186,5G,8445,476.76
3610,184186,2B,16847,170.24
3620,192254,23B,14136,167.78
3630,192254,19D,30989,11.65
3640,192254,16E,7164,205.45
3650,192254,12B,309,431.68
3660,192254,10A,10577,351.05
3670,192254,7D,30875,312.27
3680,192254,5E,19923,405.61
3690,200434,25A,9984,347.44
3700,200434,22H,13153,15.4
3710,200434,19H,33596,91.35
3720,200434,16F,22032,188.42
3730,200434,12F,3622,296.79
3740,200434,8H,137,255.15
3750,200434,3G,31144,257.25
3760,200446,25E,28214,41.83
3770,200446,22B,16602,45.92
3780,200446,19A,2006,190.32
3790,200446,16H,5376,349.27
3800,200446,10A,8257,27.69
3810,200446,7G,7201,227.27
3820,200446,2G,21415,148.87
3830,208699,24G,12788,130.76
3840,208699,20B,11301,500.39
3850,208699,17E,28733,206.82
3860,208699,14C,7621,342.75
3870,208699,11C,2820,250.68
3880,208699,8G,917,496.14
3890,208699,4D,34098,415.68
3900,208699,1H,34182,8.58
3910,208703,23E,23935,147.51
3920,208703,19A,27828,177.85
3930,208703,15C,8771,317.83
3940,208703,12E,8687,415.58
3950,208703,8F,20203,251.1
3960,208703,5G,8424,388.45
3970,208703,2D,3624,201.77
3980,208724,23D,32612,292.85
3990,208724,19C,17121,101.76
4000,208724,15D,35781,448.64
4010,208724,13D,32495,477.48
4020,208724,9F,8292,367.78
4030,208724,6D,14483,65.36
4040,208724,2E,25553,443.94
4050,216838,24A,10234,452.12
4060,216838,20D,27452,188.9
4070,216838,18E,7411,122.44
4080,216838,15G,21301,106.1
4090,216838,11C,23756,362.35
4100,216838,8H,35304,82.66
4110,216838,4D,13647,163.93
4120,216838,1E,20189,194.01
4130,216841,22F,29419,145.24
4140,216841,20E,5405,284.61
4150,216841,15F,33961,166.87
4160,216841,11E,13425,299.91
4170,216841,7D,31523,497.05
4180,216841,5C,7198,113.18
4190,216841,1E,892,90.34
4200,225088,23C,28254,172.67
4210,225088,21C,29910,359.57
4220,225088,18A,24766,452.02
4230,225088,15H,14178,356.11
4240,225088,13C,1297,421.14
4250,225088,9B,5049,361.74
4260,225088,6D,30004,318.12
4270,225088,3A,19438,20.62
4280,225095,24B,2514,443.78
4290,225095,22A,25808,92.78
4300,225095,19H,11557,177.38
4310,225095,15G,30757,177.53
4320,225095,12A,33267,341.0
4330,225095,9C,35682,429.39
4340,225095,5F,23326,202.36
4350,225095,2A,9547,371.57
4360,233219,25C,24130,419.38
4370,233219,21C,6229,242.25
4380,233219,18A,23753,12.23
4390,233219,14A,33836,405.99
4410,233219,7D,5947,100.81
4420,233219,4D,7118,442.26
4430,233222,25E,10553,53.12
4440,233222,22D,16753,97.31
4450,233222,20F,7813,155.59
4460,233222,17C,32430,344.2
4470,233222,14B,14098,356.36
4480,233222,10E,10200,271.26
4490,233222,8H,8897,252.75
4500,233222,5F,28926,273.2
4510,241489,25E,24650,473.11
4520,241489,22E,18970,473.69
4530,241489,19A,21025,411.57
4540,241489,15E,18263,355.24
4550,241489,12H,23827,372.15
4560,241489,9G,4925,290.35
4570,241489,5E,22832,159.07
4580,241489,2A,29908,148.77
4600,241521,20G,5578,323.56
4610,241521,17G,22836,256.59
4620,241521,15B,22676,209.4
4630,241521,11B,32791,57.25
4640,241521,9D,11494,57.31
4650,241521,6D,24456,171.11
4660,241521,3A,32393,58.11
4670,249593,25D,30588,301.9
4680,249593,21F,9555,346.46
4690,249593,17H,25452,128.79
4700,249593,15H,21332,142.33
4710,249593,11D,8056,123.48
4720,249593,8G,28677,64.5
4730,249593,5F,1167,152.79
4740,249593,1A,12553,53.43
4750,249596,23A,27645,57.47
4760,249596,19H,5193,279.13
4770,249596,14D,16409,460.57
4780,249596,10E,16713,245.83
4790,249596,8E,31805,119.57
4800,249596,3F,8835,306.78
4810,257760,24A,6699,158.98
4820,257760,20C,30424,341.94
4830,257760,16H,34890,82.94
4840,257760,12A,28031,445.89
4850,257760,9H,30976,171.81
4860,257760,5G,4246,178.39
4870,257760,3H,16870,355.91
4880,257775,25G,13063,1.18
4890,257775,22B,22951,61.05
4900,257775,19B,15195,145.18
4910,257775,15C,27211,434.76
4920,257775,13C,26796,50.26
4930,257775,9E,33738,439.4
4940,257775,5H,13293,461.02
4950,257775,2H,5796,186.51
4960,290563,23F,19104,291.06
4970,290563,20C,8592,116.65
4980,290563,17E,26400,414.26
4990,290563,15B,23367,101.64
5000,290563,12G,8104,198.94
5010,290563,8C,33104,345.71
5020,290563,6D,15480,112.11
5030,290563,3A,26479,136.73
5040,290565,24H,34576,76.7
5050,290565,22E,25683,305.72
5060,290565,18F,23299,163.66
5070,290565,15B,20636,118.3
5080,290565,11G,19017,490.22
5090,290565,7C,22020,484.26
5100,290565,4G,9570,154.51
5110,290572,25G,8509,207.19
5120,290572,22F,18403,372.97
5130,290572,19C,11568,428.09
5140,290572,17D,11944,122.58
5150,290572,12F,10695,110.41
5160,290572,9D,32557,197.11
5170,290572,5F,29785,177.01
5180,290572,1A,16932,194.69
5190,298832,23D,17178,431.52
5200,298832,21E,5731,342.18
5210,298832,18A,16675,179.29
5220,298832,15C,4346,395.12
5230,298832,11F,12451,338.39
5250,298832,4F,21906,98.39
5260,298834,24C,10565,368.06
5270,298834,20B,8881,118.43
5280,298834,15D,25135,83.57
5290,298834,12B,12546,498.5
5300,298834,9D,1681,132.66
5310,298834,5H,3024,185.93
5320,298834,3B,13682,26.61
5330,298841,25G,10554,256.22
5340,298841,22F,12896,114.34
5350,298841,19B,3555,131.09
5360,298841,15D,5018,34.81
5370,298841,11D,20894,439.7
5380,298841,9D,2384,322.28
5390,298841,5G,26187,436.96
5400,298841,2B,28417,497.96
5410,298843,23C,26268,173.95
5420,298843,20A,24206,77.26
5430,298843,15C,30411,323.82
5440,298843,13D,28813,61.67
5450,298843,8B,5534,372.73
5460,298843,3G,11026,443.26
5470,306917,24A,8911,368.82
5480,306917,21E,27005,341.71
5490,306917,18D,25338,412.3
5500,306917,15B,16809,228.58
5510,306917,12H,12729,181.87
5520,306917,8A,28844,432.14
5530,306917,6B,22336,326.71
5540,306933,25D,16879,72.92
5550,306933,23A,25516,139.44
5560,306933,20F,7982,224.36
5570,306933,17G,21250,35.01
5580,306933,14C,2382,186.31
5590,306933,11A,30203,158.51
5600,306933,7A,14138,447.57
5610,306933,4F,25458,230.4
5620,306938,24A,2546,51.2
5630,306938,21H,25618,454.49
5640,306938,17B,21491,456.51
5650,306938,14F,26288,188.49
5660,306938,12H,10702,485.06
5670,306938,8C,23397,200.81
5680,306938,5B,11957,486.06
5690,306938,2B,30363,342.18
5700,306943,24C,25760,271.65
5710,306943,20C,29417,258.1
5720,306943,15H,6040,497.53
5730,306943,11D,25207,468.47
5740,306943,6A,4106,358.81
5750,306943,3A,24646,50.3
5760,306943,1C,18684,389.17
5770,315093,21C,29886,441.6
5780,315093,18H,1159,26.36
5790,315093,15A,29518,240.44
5800,315093,13F,14480,220.13
5810,315093,10E,6635,156.18
5820,315093,6D,19171,39.42
5830,315093,4E,4332,11.02
5840,315099,23E,18719,439.5
5850,315099,22A,2528,351.95
5860,315099,17H,18799,148.07
5870,315099,14D,6108,25.65
5880,315099,10D,5895,330.62
5890,315099,6F,24317,83.51
5900,315099,4B,3543,384.92
5910,315110,25F,34124,73.4
5920,315110,22F,30739,379.83
5930,315110,19D,35323,192.04
5940,315110,16A,17874,418.04
5950,315110,13E,8571,101.59
5960,315110,11H,23697,443.8
5970,315110,8F,23105,470.34
5980,315110,4D,8499,365.23
5990,323403,25E,588,96.65
6000,323403,23C,27755,420.63
6010,323403,20C,15277,132.08
6020,323403,16E,3098,476.17
6030,323403,13H,17998,81.27
6040,323403,9F,34239,400.91
6050,323403,5F,20615,175.55
6060,323403,2B,30414,114.65
6070,331497,24C,18455,6.97
6080,331497,21E,6382,475.99
6090,331497,17F,22515,112.86
6100,331497,14D,11686,78.64
6110,331497,12E,18712,64.19
6120,331497,7A,11046,299.46
6130,331497,3A,5553,482.6
6140,331513,24B,18549,489.64
6150,331513,21A,28464,97.69
6160,331513,18F,31290,377.61
6170,331513,14G,12280,498.93
6180,331513,12G,14252,433.73
6190,331513,9C,6333,305.67
6200,331513,6A,9191,378.43
6210,331513,3A,8806,216.66
6220,331524,25G,34592,140.42
6230,331524,22D,10577,436.71
6240,331524,19B,32423,218.45
6250,331524,16H,35082,289.91
6260,331524,13C,18834,300.61
6270,331524,7H,14366,423.99
6280,331524,4H,2633,191.17
6290,331524,2C,299,170.11
6300,339766,24G,8966,252.8
6310,339766,21F,35627,245.23
6320,339766,18C,11920,61.78
6330,339766,14E,10035,86.71
6340,339766,10E,35110,19.81
6350,339766,7C,9324,317.7
6360,339766,3B,6873,389.99
6370,339773,24H,18015,88.46
6380,339773,21F,52,161.51
6390,339773,19H,20185,208.46
6400,339773,14A,5647,144.51
6410,339773,10C,17878,265.86
6420,339773,7A,847,72.49
6430,339773,4B,5261,462.2
6440,339773,1H,29515,58.45
6450,339779,22D,13829,23.41
6460,339779,18A,28050,25.32
6470,339779,14F,12208,495.85
6480,339779,11D,27631,195.11
6490,339779,9D,30032,228.62
6500,339779,5A,14265,203.09
6510,339779,2B,13248,106.37
6520,339791,23B,3256,260.27
6530,339791,20H,15479,475.79
6540,339791,17F,18175,108.19
6550,339791,13C,23771,72.53
6560,339791,10D,34300,378.47
6580,339791,1H,2527,404.7
6590,347883,23G,24025,148.5
6600,347883,20E,32676,235.8
6610,347883,17G,9332,156.03
6620,347883,14F,24372,1.66
6640,347883,7A,10228,301.69
6650,347883,3H,34567,387.95
6660,347892,25C,18712,473.46
6670,347892,20F,6328,173.47
6680,347892,17C,9882,434.25
6690,347892,13B,32917,424.59
6700,347892,11B,637,270.99
6710,347892,8A,4330,69.02
6720,347892,4H,15610,74.33
6730,347892,1F,14775,159.39
6740,347898,23D,6945,210.32
6750,347898,19D,26634,57.88
6760,347898,16H,16688,340.76
6770,347898,13F,20462,39.0
6780,347898,11G,10108,286.32
6790,347898,7H,15145,492.0
6800,347898,4A,1518,138.9
6810,347898,2B,24069,202.54
6820,356176,22D,16920,380.33
6830,356176,19A,35430,36.64
6840,356176,15C,23350,262.51
6850,356176,12A,13972,178.81
6860,356176,10A,3974,425.79
6870,356176,7H,33313,10.57
6880,356176,4G,2362,290.77
6890,356176,1G,33529,349.66
6900,356197,22C,22935,338.04
6910,356197,19A,3272,307.67
6920,356197,15D,23680,323.74
6930,356197,9E,22020,111.35
6940,356197,5E,12251,465.2
6950,356197,2A,33724,81.7
6960,364263,24C,9243,222.59
6970,364263,22A,1975,405.71
6980,364263,18F,14262,213.98
6990,364263,15D,19995,194.16
7000,364263,11D,13905,244.68
7010,364263,9E,20397,460.82
7020,364263,6E,3683,338.21
7030,364263,2A,28221,191.96
7040,372443,24E,34195,238.11
7050,372443,21H,31809,251.02
7060,372443,19G,30092,317.6
7070,372443,16G,24842,98.34
7080,372443,13B,34883,466.83
7090,372443,11D,642,152.76
7100,372443,7H,18688,193.12
7110,372443,3A,22222,13.57
7120,380723,24A,2965,401.34
7130,380723,20C,3036,131.21
7140,380723,18A,8790,217.3
7150,380723,13A,10836,261.46
7160,380723,11B,497,215.6
7170,380723,8E,18460,347.14
7180,380723,4F,32231,434.86
7190,388839,25G,21754,311.13
7200,388839,21G,5340,490.64
7210,388839,18A,32718,187.85
7220,388839,15B,13904,64.11
7230,388839,13E,348,459.68
7240,388839,10F,33249,438.63
7250,388839,7C,18148,434.46
7260,388839,4E,35044,104.23
7270,388846,25G,23314,109.02
7280,388846,23G,26138,310.88
7290,388846,20E,32978,370.77
7300,388846,16B,2578,420.83
7310,388846,13F,7053,70.55
7320,388846,9C,14010,250.43
7330,388846,5B,16834,232.51
7340,388846,3A,17212,304.93
7350,405212,25D,35010,261.42
7360,405212,21B,25315,306.19
7370,405212,18D,32130,185.24
7380,405212,15B,16256,150.64
7390,405212,11C,27318,481.87
7400,405212,8G,19315,374.56
7410,405212,5G,12252,260.35
7420,405212,2A,5382,29.9
7430,405238,23C,21899,473.97
7440,405238,20H,7709,324.56
7450,405238,17E,13410,234.19
7460,405238,13H,11178,228.07
7470,405238,10F,24821,337.3
7480,405238,7A,4022,272.94
7490,405238,3A,1351,69.78
7500,413518,25F,31352,46.96
7510,413518,21F,345,200.07
7520,413518,18D,3542,394.48
7530,413518,15E,16507,2.11
7540,413518,13E,16121,272.62
7550,413518,10A,30780,450.48
7560,413518,7C,26180,21.11
7570,413518,4H,19960,482.46
7580,413532,24E,7887,500.5
7590,413532,20D,17206,440.97
7600,413532,18A,30817,35.77
7610,413532,13B,32937,76.61
7620,413532,10G,13346,324.42
7630,413532,6E,17801,152.96
7640,413532,1G,17071,98.63
7650,421588,22C,4480,187.08
7660,421588,19C,6128,413.42
7670,421588,16F,28635,95.61
7680,421588,13G,3076,238.91
7690,421588,8B,35228,92.65
7700,421588,6D,31001,264.7
7710,421588,2G,32355,218.69
7720,421591,23D,25582,426.31
7730,421591,19C,18074,94.11
7740,421591,16B,29578,320.01
7750,421591,13E,27574,62.63
7760,421591,9E,15890,84.88
7770,421591,6C,2302,406.61
7780,421591,2B,7367,4.86
7790,421613,24H,27216,471.66
7800,421613,21B,20840,310.03
7810,421613,17A,3664,470.14
7820,421613,13G,10517,403.59
7830,421613,10D,9410,133.59
7840,421613,6D,18142,247.22
7850,421613,3C,28936,430.89
7860,429769,25E,16056,208.83
7870,429769,22F,16923,4.19
7880,429769,18E,28981,178.39
7890,429769,15B,15615,1.52
7900,429769,12A,204,12.62
7910,429769,7E,31666,403.83
7920,429769,5E,34180,67.91
7930,429769,1D,25970,434.35
7940,429770,22F,35676,195.61
7950,429770,19D,31538,413.57
7960,429770,16A,23022,279.86
7970,429770,13H,27688,266.99
7980,429770,10F,3269,40.55
7990,429770,8G,2080,449.07
8000,429770,5G,28251,177.1
8010,429789,25C,6079,418.11
8020,429789,22E,34980,43.35
8030,429789,17E,33461,128.99
8040,429789,14D,32174,25.44
8050,429789,10F,26361,421.56
8060,429789,8F,9776,55.54
8070,429789,5F,24977,207.68
8080,429789,2A,19587,86.47
8090,429791,23D,751,146.93
8100,429791,19C,8010,259.25
8110,429791,15B,6152,29.44
8120,429791,12B,1770,372.88
8130,429791,6D,31433,268.33
8140,429791,2F,15110,116.04
8150,446193,25D,20610,447.71
8160,446193,22B,3910,255.11
8170,446193,19D,7820,66.62
8180,446193,15B,4066,436.1
8190,446193,11C,3009,328.54
8200,446193,9C,16363,158.99
8210,446193,4E,8283,463.63
8220,446193,1B,31517,392.35
8230,446196,22E,19311,413.76
8240,446196,20E,2122,239.47
8250,446196,16B,32241,323.39
8260,446196,13A,29949,378.43
8270,446196,10G,28449,8.67
8280,446196,8H,35729,482.62
8290,446196,5H,25909,83.58
8300,446196,1C,28583,361.32
8310,446201,23B,15499,209.58
8320,446201,20F,5104,249.86
8330,446201,16H,6299,286.47
8340,446201,12D,22971,277.2
8350,446201,9C,10014,349.44
8360,446201,6E,5054,362.39
8370,446201,3A,30713,303.56
8380,454433,25C,24283,448.7
8390,454433,22G,30172,311.45
8400,454433,19H,7293,51.87
8410,454433,15E,2428,437.37
8420,454433,12B,28387,448.15
8430,454433,9D,35776,466.09
8440,454433,5F,34485,16.41
8450,454433,2D,8224,45.33
8460,454440,24H,2649,321.78
8470,454440,21H,7535,37.04
8480,454440,18C,30053,187.68
8490,454440,15C,27761,87.63
8510,454440,10B,8874,448.87
8520,454440,6F,32512,308.97
8530,454440,1H,23758,398.62
8540,454443,23C,33123,76.77
8550,454443,20A,31218,332.51
8560,454443,18D,18200,369.31
8570,454443,15C,12831,25.08
8580,454443,13G,35635,497.31
8590,454443,10E,1674,498.11
8600,454443,7B,10257,258.05
8610,454443,4H,15631,369.05
8620,454460,25E,20083,46.04
8630,454460,21F,5751,60.46
8640,454460,17D,28749,2.08
8650,454460,15H,7858,108.65
8660,454460,11C,12219,196.42
8670,454460,7E,25349,260.4
8680,454460,3B,3181,70.07
8690,462555,23A,26947,233.03
8700,462555,20H,34539,146.35
8710,462555,17G,14582,216.7
8720,462555,14E,31113,495.42
8730,462555,11B,17135,269.55
8740,462555,8H,769,317.71
8750,462555,4H,15092,178.51
8760,462559,25F,6701,129.56
8770,462559,22B,9696,230.96
8780,462559,19A,20251,430.95
8790,462559,15E,28742,128.7
8800,462559,13F,34737,356.62
8810,462559,10B,7411,162.23
8820,462559,6F,13526,331.99
8830,462559,3H,17901,340.75
8840,462567,25G,2628,496.45
8850,462567,23D,14098,108.83
8860,462567,21G,32053,315.24
8870,462567,17D,28653,12.48
8880,462567,14C,911,153.67
8890,462567,11D,28558,310.1
8900,462567,8A,5710,112.63
8910,462567,4H,30057,203.95
