flight_id,flightno,from,to,departure,arrival,airline_id,airplane_id
28,AF5448,1108,2852,2015-06-01 23:26:00,2015-06-02 10:06:00,1,2630
29,AF5675,10081,10681,2015-06-01 16:20:00,2015-06-01 19:03:00,1,2616
30,AF5788,6225,7349,2015-06-01 10:42:00,2015-06-01 22:27:00,1,2578
31,AF7021,10399,12286,2015-06-01 22:54:00,2015-06-02 07:27:00,1,2576
32,AF7210,3112,6373,2015-06-01 19:13:00,2015-06-02 08:00:00,1,2582
33,AF7245,8173,9046,2015-06-01 18:12:00,2015-06-01 22:42:00,1,2635
34,AF7487,9679,3521,2015-06-01 07:31:00,2015-06-01 19:18:00,1,2589
35,AF7568,7051,10949,2015-06-01 17:32:00,2015-06-02 00:46:00,1,2603
36,AF7629,1680,12767,2015-06-01 23:26:00,2015-06-02 16:44:00,1,2574
37,AF7889,5455,1778,2015-06-01 01:26:00,2015-06-01 04:34:00,1,2568
38,AF8329,11249,12890,2015-06-01 12:58:00,2015-06-01 21:15:00,1,2565
39,AF8380,10447,11161,2015-06-01 12:31:00,2015-06-01 15:18:00,1,2592
40,AF8467,8109,6670,2015-06-01 05:16:00,2015-06-01 19:17:00,1,2582
41,AF8676,1690,1962,2015-06-01 02:39:00,2015-06-01 04:50:00,1,2588
42,AF8716,1692,2993,2015-06-01 12:23:00,2015-06-02 01:04:00,1,2599
43,AF8780,12294,9055,2015-06-01 06:30:00,2015-06-01 14:54:00,1,2612
44,AF9213,555,11112,2015-06-01 02:29:00,2015-06-01 16:43:00,1,2576
45,AF9336,8436,7633,2015-06-01 14:37:00,2015-06-02 04:27:00,1,2579
46,AF9482,1732,1219,2015-06-01 07:13:00,2015-06-01 21:39:00,1,2576
47,AF9511,209,13392,2015-06-01 09:09:00,2015-06-01 18:35:00,1,2608
48,AF9700,220,10900,2015-06-01 12:00:00,2015-06-01 20:52:00,1,2573
49,AF9835,446,8544,2015-06-01 20:52:00,2015-06-02 10:33:00,1,2569
50,AL1017,6053,9555,2015-06-01 08:14:00,2015-06-01 10:16:00,2,5455
51,AL1028,6135,9347,2015-06-01 21:09:00,2015-06-02 11:38:00,2,5408
52,AL1073,12330,1918,2015-06-01 14:34:00,2015-06-02 02:59:00,2,5391
53,AL1163,11280,12458,2015-06-01 18:09:00,2015-06-02 05:48:00,2,5414
54,AL1184,6053,9900,2015-06-01 11:00:00,2015-06-02 01:15:00,2,5415
55,AL1242,9555,6287,2015-06-01 12:33:00,2015-06-01 16:52:00,2,5400
56,AL1445,13112,721,2015-06-01 01:25:00,2015-06-01 16:33:00,2,5453
57,AL1496,9859,109,2015-06-01 01:39:00,2015-06-01 09:47:00,2,5458
58,AL1547,10363,2810,2015-06-01 16:04:00,2015-06-01 18:35:00,2,5458
59,AL1565,6689,2310,2015-06-01 20:00:00,2015-06-02 10:26:00,2,5450
60,AL1905,12844,2046,2015-06-01 08:36:00,2015-06-01 19:36:00,2,5453
61,AL1933,3380,11199,2015-06-01 18:33:00,2015-06-02 00:48:00,2,5453
62,AL2193,8359,6596,2015-06-01 03:30:00,2015-06-02 00:18:00,2,5448
63,AL2266,4490,10232,2015-06-01 15:21:00,2015-06-02 02:56:00,2,5433
64,AL2289,3477,4163,2015-06-01 18:28:00,2015-06-02 06:30:00,2,5437
65,AL2437,3028,9566,2015-06-01 12:01:00,2015-06-02 03:57:00,2,5415
66,AL2570,4365,3401,2015-06-01 03:57:00,2015-06-01 06:26:00,2,5422
67,AL2668,7455,6708,2015-06-01 20:06:00,2015-06-02 06:54:00,2,5461
68,AL2821,6262,7220,2015-06-01 03:36:00,2015-06-01 16:36:00,2,5428
69,AL2946,1133,4686,2015-06-01 03:13:00,2015-06-01 10:14:00,2,5425
70,AL3161,885,5103,2015-06-01 20:01:00,2015-06-02 16:25:00,2,5395
71,AL3990,8851,12808,2015-06-01 01:50:00,2015-06-01 12:12:00,2,5391
72,AL4015,3817,8685,2015-06-01 19:30:00,2015-06-02 10:32:00,2,5418
73,AL4082,13165,988,2015-06-01 22:43:00,2015-06-01 23:18:00,2,5455
74,AL4189,8111,4904,2015-06-01 15:25:00,2015-06-02 00:22:00,2,5468
75,AL4779,2469,4227,2015-06-01 15:13:00,2015-06-02 04:28:00,2,5418
76,AL4815,8866,9645,2015-06-01 06:30:00,2015-06-01 17:00:00,2,5464
77,AL5028,10874,4156,2015-06-01 19:04:00,2015-06-02 12:30:00,2,5402
78,AL5125,9820,5515,2015-06-01 06:24:00,2015-06-01 09:31:00,2,5451
79,AL5198,11766,10230,2015-06-01 22:32:00,2015-06-02 00:59:00,2,5442
80,AL5621,13483,7197,2015-06-01 13:34:00,2015-06-01 18:51:00,2,5450
81,AL5630,5500,11000,2015-06-01 11:18:00,2015-06-01 22:05:00,2,5391
82,AL6297,2478,1647,2015-06-01 05:54:00,2015-06-01 15:56:00,2,5422
83,AL6613,10630,5260,2015-06-01 01:38:00,2015-06-01 14:45:00,2,5393
84,AL6672,11255,4074,2015-06-01 17:19:00,2015-06-01 17:56:00,2,5410
85,AL6705,5299,3198,2015-06-01 00:39:00,2015-06-01 04:36:00,2,5447
86,AL6991,2957,13462,2015-06-01 13:03:00,2015-06-02 02:37:00,2,5451
87,AL7291,12255,11291,2015-06-01 23:25:00,2015-06-02 09:48:00,2,5410
88,AL7715,7170,1423,2015-06-01 15:56:00,2015-06-01 17:25:00,2,5422
89,AL7772,9015,35,2015-06-01 16:15:00,2015-06-02 06:47:00,2,5406
90,AL8051,5040,12180,2015-06-01 17:59:00,2015-06-02 03:55:00,2,5408
91,AL8189,1700,12666,2015-06-01 23:12:00,2015-06-02 10:06:00,2,5448
92,AL8719,12692,2342,2015-06-01 09:40:00,2015-06-01 20:38:00,2,5459
93,AL9073,6719,9412,2015-06-01 07:56:00,2015-06-01 18:40:00,2,5393
94,AL9299,11878,2213,2015-06-01 06:39:00,2015-06-01 10:46:00,2,5436
95,AL9386,1403,3067,2015-06-01 03:11:00,2015-06-01 20:26:00,2,5411
96,AL9423,12476,9671,2015-06-01 08:35:00,2015-06-01 09:04:00,2,5433
97,AL9477,9060,410,2015-06-01 08:09:00,2015-06-01 19:00:00,2,5454
98,AL9637,10931,10447,2015-06-01 16:34:00,2015-06-02 02:04:00,2,5424
99,AL9745,10411,282,2015-06-01 11:49:00,2015-06-01 21:26:00,2,5395
100,AL9851,4546,2199,2015-06-01 11:03:00,2015-06-01 15:23:00,2,5401
101,AL9953,13474,12611,2015-06-01 03:38:00,2015-06-01 21:01:00,2,5443
102,AM1241,6300,9691,2015-06-01 09:25:00,2015-06-02 01:57:00,3,5307
103,AM1246,12718,12961,2015-06-01 07:26:00,2015-06-01 20:25:00,3,5320
104,AM1659,12389,2658,2015-06-01 19:06:00,2015-06-02 05:13:00,3,5312
105,AM2041,553,12359,2015-06-01 07:08:00,2015-06-01 09:00:00,3,5297
106,AM2046,3647,2600,2015-06-01 01:50:00,2015-06-01 11:29:00,3,5317
107,AM2479,5160,11868,2015-06-01 21:26:00,2015-06-02 08:49:00,3,5296
108,AM3034,9084,2216,2015-06-01 01:10:00,2015-06-01 02:52:00,3,5303
109,AM3379,5585,11270,2015-06-01 03:24:00,2015-06-01 06:12:00,3,5320
110,AM3587,3041,9045,2015-06-01 02:22:00,2015-06-01 21:49:00,3,5297
111,AM4744,9250,11978,2015-06-01 15:25:00,2015-06-01 20:12:00,3,5318
112,AM4982,11234,12392,2015-06-01 02:28:00,2015-06-01 12:26:00,3,5304
113,AM4998,6764,1796,2015-06-01 06:01:00,2015-06-01 19:13:00,3,5300
114,AM5116,5118,5032,2015-06-01 02:20:00,2015-06-01 15:16:00,3,5312
115,AM5136,9358,5904,2015-06-01 11:19:00,2015-06-01 15:03:00,3,5314
116,AM5188,4395,2873,2015-06-01 14:36:00,2015-06-02 02:33:00,3,5308
117,AM5626,4540,4164,2015-06-01 05:30:00,2015-06-01 17:39:00,3,5316
118,AM5825,528,2039,2015-06-01 16:29:00,2015-06-02 07:41:00,3,5300
119,AM5831,1664,6297,2015-06-01 23:38:00,2015-06-02 01:56:00,3,5309
120,AM6317,7943,1546,2015-06-01 03:08:00,2015-06-01 03:32:00,3,5319
121,AM6427,7145,5523,2015-06-01 00:04:00,2015-06-01 19:36:00,3,5301
122,AM6443,4864,12681,2015-06-01 14:03:00,2015-06-02 07:41:00,3,5319
123,AM6746,6638,9343,2015-06-01 02:56:00,2015-06-01 12:01:00,3,5320
124,AM6843,1366,3529,2015-06-01 05:39:00,2015-06-01 06:41:00,3,5317
125,AM7092,6930,8436,2015-06-01 11:06:00,2015-06-01 23:14:00,3,5303
126,AM7100,10399,3011,2015-06-01 05:53:00,2015-06-01 20:47:00,3,5320
127,AM7134,6129,12124,2015-06-01 04:16:00,2015-06-01 15:09:00,3,5305
128,AM7321,5511,5718,2015-06-01 12:30:00,2015-06-02 07:47:00,3,5295
129,AM8003,13010,10857,2015-06-01 02:25:00,2015-06-01 14:10:00,3,5318
130,AM8295,6228,9918,2015-06-01 06:04:00,2015-06-01 11:34:00,3,5311
131,AM8429,6776,537,2015-06-01 07:29:00,2015-06-02 00:31:00,3,5315
132,AM8756,9218,2724,2015-06-01 04:35:00,2015-06-01 19:33:00,3,5299
133,AM8807,11428,5882,2015-06-01 02:54:00,2015-06-01 23:11:00,3,5308
134,AM8870,1340,10677,2015-06-01 07:42:00,2015-06-01 15:37:00,3,5302
135,AM9059,5775,12038,2015-06-01 05:31:00,2015-06-01 16:56:00,3,5321
136,AM9153,7703,6347,2015-06-01 10:04:00,2015-06-01 11:59:00,3,5305
137,AM9291,4206,199,2015-06-01 13:07:00,2015-06-01 23:33:00,3,5306
138,AM9379,6836,4683,2015-06-01 21:36:00,2015-06-02 00:15:00,3,5295
139,AN1018,4343,3013,2015-06-01 04:35:00,2015-06-01 16:34:00,4,1197
140,AN1079,13574,7269,2015-06-01 11:04:00,2015-06-02 02:01:00,4,1185
141,AN1148,8516,13161,2015-06-01 16:14:00,2015-06-01 18:53:00,4,1199
142,AN1181,6752,5714,2015-06-01 04:34:00,2015-06-01 16:13:00,4,1173
143,AN1250,6279,5801,2015-06-01 10:46:00,2015-06-02 03:47:00,4,1185
144,AN1303,5856,313,2015-06-01 06:54:00,2015-06-01 13:17:00,4,1175
145,AN1327,8792,2496,2015-06-01 00:37:00,2015-06-01 14:47:00,4,1174
146,AN1357,7367,97,2015-06-01 05:29:00,2015-06-01 16:24:00,4,1177
147,AN1361,9354,8070,2015-06-01 10:30:00,2015-06-01 12:43:00,4,1175
148,AN1559,8082,5847,2015-06-01 15:30:00,2015-06-01 22:24:00,4,1187
149,AN1635,5585,5365,2015-06-01 14:43:00,2015-06-02 05:42:00,4,1192
150,AN1966,11790,10731,2015-06-01 18:15:00,2015-06-01 21:00:00,4,1174
151,AN2320,3459,6930,2015-06-01 22:36:00,2015-06-02 19:10:00,4,1184
152,AN2405,6596,12454,2015-06-01 22:52:00,2015-06-02 02:23:00,4,1197
153,AN2447,11663,6496,2015-06-01 07:17:00,2015-06-01 17:51:00,4,1185
154,AN2706,4893,5168,2015-06-01 05:02:00,2015-06-01 07:16:00,4,1186
155,AN2813,617,12633,2015-06-01 18:34:00,2015-06-02 01:14:00,4,1175
156,AN2983,10858,12858,2015-06-01 23:07:00,2015-06-02 12:07:00,4,1193
157,AN3245,12068,929,2015-06-01 21:16:00,2015-06-02 09:27:00,4,1175
158,AN4105,10196,7859,2015-06-01 16:58:00,2015-06-02 13:01:00,4,1194
159,AN4188,7081,943,2015-06-01 05:30:00,2015-06-01 19:13:00,4,1195
160,AN4301,1023,4117,2015-06-01 13:10:00,2015-06-02 00:39:00,4,1196
161,AN4318,4374,1665,2015-06-01 22:31:00,2015-06-02 12:14:00,4,1189
162,AN4477,1456,12124,2015-06-01 09:13:00,2015-06-01 09:58:00,4,1175
163,AN5615,1033,1492,2015-06-01 21:07:00,2015-06-02 08:56:00,4,1203
164,AN5834,3442,10804,2015-06-01 00:56:00,2015-06-01 14:28:00,4,1180
165,AN5932,11974,4177,2015-06-01 01:33:00,2015-06-01 07:03:00,4,1202
166,AN6142,7288,2181,2015-06-01 07:20:00,2015-06-01 18:35:00,4,1186
167,AN6313,40,9214,2015-06-01 01:28:00,2015-06-01 15:01:00,4,1178
168,AN6729,7255,9813,2015-06-01 05:55:00,2015-06-01 20:23:00,4,1175
169,AN7167,3687,2548,2015-06-01 04:26:00,2015-06-01 13:34:00,4,1195
170,AN7181,13574,5031,2015-06-01 12:43:00,2015-06-01 14:51:00,4,1173
171,AN7391,10046,5790,2015-06-01 01:22:00,2015-06-01 03:04:00,4,1199
172,AN7491,3761,1131,2015-06-01 12:09:00,2015-06-01 19:06:00,4,1173
173,AN7888,206,13346,2015-06-01 12:00:00,2015-06-01 12:29:00,4,1201
174,AN8133,11353,2470,2015-06-01 09:13:00,2015-06-01 22:59:00,4,1169
175,AN8787,922,2736,2015-06-01 05:22:00,2015-06-01 14:45:00,4,1193
176,AN8947,10958,7148,2015-06-01 22:25:00,2015-06-02 01:46:00,4,1179
177,AN8979,2173,13021,2015-06-01 03:04:00,2015-06-01 05:13:00,4,1187
178,AN9101,11426,12434,2015-06-01 09:37:00,2015-06-01 13:09:00,4,1173
179,AN9864,10067,7286,2015-06-01 08:39:00,2015-06-01 22:10:00,4,1187
180,AN9927,9925,8564,2015-06-01 07:26:00,2015-06-01 14:05:00,4,1203
181,AN9994,2339,11634,2015-06-01 09:20:00,2015-06-02 02:59:00,4,1192
182,AR1368,5447,384,2015-06-01 15:44:00,2015-06-02 08:03:00,5,1346
183,AR1426,3472,5927,2015-06-01 21:31:00,2015-06-02 01:56:00,5,1337
184,AR1679,1652,8686,2015-06-01 13:46:00,2015-06-02 09:19:00,5,1335
185,AR1732,7950,9646,2015-06-01 04:53:00,2015-06-01 06:50:00,5,1347
186,AR1856,12224,3414,2015-06-01 17:19:00,2015-06-02 10:53:00,5,1351
187,AR2090,1839,10918,2015-06-01 12:10:00,2015-06-02 03:30:00,5,1333
188,AR2319,6367,8195,2015-06-01 20:04:00,2015-06-02 05:47:00,5,1333
189,AR2481,1248,6444,2015-06-01 08:04:00,2015-06-01 23:17:00,5,1327
190,AR2555,2022,12719,2015-06-01 16:35:00,2015-06-02 08:36:00,5,1334
191,AR2642,5616,2441,2015-06-01 06:32:00,2015-06-01 11:14:00,5,1320
192,AR2690,7149,4847,2015-06-01 10:25:00,2015-06-02 07:22:00,5,1344
193,AR2801,2608,3482,2015-06-01 09:04:00,2015-06-02 02:51:00,5,1329
194,AR2952,2716,12215,2015-06-01 01:14:00,2015-06-01 13:06:00,5,1329
195,AR2983,3825,9683,2015-06-01 20:04:00,2015-06-02 08:33:00,5,1352
196,AR3082,10744,8419,2015-06-01 20:35:00,2015-06-02 10:12:00,5,1333
197,AR4575,2322,5515,2015-06-01 22:34:00,2015-06-02 16:18:00,5,1348
198,AR4694,7599,10753,2015-06-01 17:09:00,2015-06-02 12:40:00,5,1352
199,AR5052,12299,7481,2015-06-01 06:06:00,2015-06-02 00:05:00,5,1333
200,AR5150,1002,8929,2015-06-01 23:47:00,2015-06-02 12:31:00,5,1349
201,AR5330,12126,5282,2015-06-01 02:32:00,2015-06-01 08:55:00,5,1345
202,AR5965,5547,9421,2015-06-01 08:22:00,2015-06-01 16:49:00,5,1345
203,AR6135,7765,1091,2015-06-01 00:14:00,2015-06-01 10:34:00,5,1319
204,AR6314,2141,3272,2015-06-01 14:07:00,2015-06-02 00:22:00,5,1340
205,AR6368,9142,7706,2015-06-01 16:22:00,2015-06-01 20:27:00,5,1333
206,AR6507,7195,11423,2015-06-01 16:14:00,2015-06-02 02:45:00,5,1337
207,AR7239,12696,5589,2015-06-01 23:37:00,2015-06-02 08:29:00,5,1347
208,AR7493,1001,11077,2015-06-01 12:05:00,2015-06-01 21:43:00,5,1331
209,AR7673,1550,5950,2015-06-01 07:35:00,2015-06-01 23:05:00,5,1339
210,AR7721,10810,97,2015-06-01 03:08:00,2015-06-01 08:17:00,5,1355
211,AR7779,11967,3369,2015-06-01 08:01:00,2015-06-01 14:50:00,5,1320
212,AR7799,8327,1876,2015-06-01 06:06:00,2015-06-01 16:20:00,5,1336
213,AR8083,8126,253,2015-06-01 01:31:00,2015-06-01 16:10:00,5,1325
214,AR8541,12098,4023,2015-06-01 20:13:00,2015-06-02 16:57:00,5,1335
215,AR8607,13289,2429,2015-06-01 14:12:00,2015-06-01 15:16:00,5,1330
216,AR9187,10154,6219,2015-06-01 14:32:00,2015-06-01 22:31:00,5,1332
217,AR9255,7879,2441,2015-06-01 02:15:00,2015-06-01 19:26:00,5,1331
218,AR9377,671,9527,2015-06-01 06:12:00,2015-06-01 14:56:00,5,1323
219,AR9453,6992,2471,2015-06-01 18:07:00,2015-06-01 20:47:00,5,1326
220,AR9625,8579,2167,2015-06-01 01:08:00,2015-06-01 16:08:00,5,1340
221,AR9628,5432,10661,2015-06-01 01:14:00,2015-06-01 07:24:00,5,1347
222,AR9693,10810,2039,2015-06-01 03:19:00,2015-06-01 13:30:00,5,1322
223,AU1011,2864,3835,2015-06-01 12:24:00,2015-06-02 00:10:00,6,579
224,AU1087,11571,8883,2015-06-01 22:16:00,2015-06-02 03:41:00,6,539
225,AU1151,10508,2194,2015-06-01 21:34:00,2015-06-02 16:57:00,6,574
226,AU1216,10677,2356,2015-06-01 08:58:00,2015-06-01 15:32:00,6,574
227,AU1250,8413,10220,2015-06-01 14:56:00,2015-06-02 10:38:00,6,554
228,AU1273,12027,1804,2015-06-01 03:40:00,2015-06-02 01:00:00,6,574
229,AU1312,7945,12347,2015-06-01 11:24:00,2015-06-01 20:59:00,6,554
230,AU1510,8114,7520,2015-06-01 08:54:00,2015-06-01 16:41:00,6,592
231,AU1513,1235,982,2015-06-01 00:37:00,2015-06-01 18:49:00,6,564
232,AU1570,7691,3158,2015-06-01 01:37:00,2015-06-01 18:11:00,6,580
233,AU1765,2588,5885,2015-06-01 02:29:00,2015-06-01 21:13:00,6,588
234,AU2018,4906,5958,2015-06-01 05:38:00,2015-06-01 22:23:00,6,558
235,AU2449,9448,9783,2015-06-01 02:15:00,2015-06-01 12:25:00,6,585
236,AU2633,9644,9782,2015-06-01 06:03:00,2015-06-01 14:52:00,6,579
237,AU2719,8589,9858,2015-06-01 09:14:00,2015-06-01 10:38:00,6,601
238,AU2786,10949,7148,2015-06-01 07:24:00,2015-06-01 16:22:00,6,589
239,AU2940,6679,12177,2015-06-01 15:05:00,2015-06-02 03:58:00,6,555
240,AU3342,6042,3827,2015-06-01 20:06:00,2015-06-01 22:57:00,6,551
241,AU3533,2766,11433,2015-06-01 17:19:00,2015-06-02 04:08:00,6,602
242,AU3542,10732,6470,2015-06-01 09:13:00,2015-06-01 17:54:00,6,581
243,AU3794,10912,4779,2015-06-01 20:29:00,2015-06-01 22:46:00,6,604
244,AU4376,11434,4749,2015-06-01 23:21:00,2015-06-02 11:36:00,6,556
245,AU4382,10464,6418,2015-06-01 23:23:00,2015-06-02 03:58:00,6,552
246,AU4385,8949,3729,2015-06-01 23:18:00,2015-06-02 13:21:00,6,541
247,AU4409,7231,10151,2015-06-01 08:09:00,2015-06-01 11:00:00,6,582
248,AU4433,5910,825,2015-06-01 01:08:00,2015-06-01 15:28:00,6,579
249,AU5795,7058,5433,2015-06-01 03:45:00,2015-06-01 12:08:00,6,564
250,AU6037,3900,10030,2015-06-01 16:17:00,2015-06-01 18:31:00,6,593
251,AU6409,2408,2877,2015-06-01 00:42:00,2015-06-01 12:35:00,6,550
252,AU6438,1037,5090,2015-06-01 22:05:00,2015-06-02 09:08:00,6,571
253,AU7110,3911,8630,2015-06-01 16:17:00,2015-06-02 06:30:00,6,569
254,AU7445,8640,4468,2015-06-01 02:46:00,2015-06-01 08:37:00,6,589
255,AU7517,10784,4745,2015-06-01 14:01:00,2015-06-01 15:13:00,6,573
256,AU7928,2535,12227,2015-06-01 06:20:00,2015-06-01 07:39:00,6,565
257,AU7996,3097,8795,2015-06-01 04:12:00,2015-06-01 21:06:00,6,585
258,AU8109,3901,13489,2015-06-01 16:16:00,2015-06-02 09:26:00,6,600
259,AU8731,11690,536,2015-06-01 13:25:00,2015-06-02 03:10:00,6,577
260,AU9197,10506,3742,2015-06-01 18:18:00,2015-06-01 19:16:00,6,539
261,AU9336,4615,4946,2015-06-01 10:27:00,2015-06-02 02:23:00,6,574
262,AU9358,7016,13171,2015-06-01 06:12:00,2015-06-01 08:24:00,6,603
263,AU9660,7902,3837,2015-06-01 16:18:00,2015-06-01 19:30:00,6,581
264,AU9821,5410,4750,2015-06-01 05:11:00,2015-06-01 16:31:00,6,601
265,AU9916,3965,3364,2015-06-01 00:29:00,2015-06-01 11:34:00,6,604
266,AZ1009,6869,8580,2015-06-01 10:13:00,2015-06-01 11:12:00,7,2873
267,AZ1260,10445,214,2015-06-01 19:11:00,2015-06-01 20:57:00,7,2883
268,AZ1323,13401,9420,2015-06-01 12:19:00,2015-06-01 14:41:00,7,2874
269,AZ1358,5054,184,2015-06-01 16:35:00,2015-06-01 18:57:00,7,2878
270,AZ1395,1772,8652,2015-06-01 10:38:00,2015-06-01 20:36:00,7,2882
271,AZ1469,12734,7446,2015-06-01 14:58:00,2015-06-02 06:16:00,7,2885
272,AZ1481,9131,10112,2015-06-01 15:15:00,2015-06-02 02:14:00,7,2878
273,AZ1494,7443,10932,2015-06-01 03:11:00,2015-06-01 03:59:00,7,2879
274,AZ1667,12661,5724,2015-06-01 16:41:00,2015-06-02 12:26:00,7,2880
275,AZ1714,1362,8209,2015-06-01 21:59:00,2015-06-02 16:41:00,7,2876
276,AZ1952,971,9565,2015-06-01 09:23:00,2015-06-01 12:41:00,7,2877
277,AZ2093,4396,5732,2015-06-01 22:15:00,2015-06-01 22:57:00,7,2873
278,AZ2591,11435,249,2015-06-01 23:24:00,2015-06-02 14:34:00,7,2879
279,AZ2852,5896,7276,2015-06-01 06:33:00,2015-06-01 08:09:00,7,2879
280,AZ2937,2747,11204,2015-06-01 00:30:00,2015-06-01 10:38:00,7,2882
281,AZ2941,395,6072,2015-06-01 09:08:00,2015-06-01 18:25:00,7,2872
282,AZ3419,10066,8645,2015-06-01 19:07:00,2015-06-02 03:58:00,7,2882
283,AZ3453,159,12469,2015-06-01 22:56:00,2015-06-02 04:38:00,7,2885
284,AZ4095,1667,2889,2015-06-01 10:17:00,2015-06-01 17:40:00,7,2885
285,AZ4298,1945,11387,2015-06-01 02:26:00,2015-06-01 05:06:00,7,2885
286,AZ4466,11803,12553,2015-06-01 13:39:00,2015-06-02 01:19:00,7,2877
287,AZ4893,8033,13583,2015-06-01 17:39:00,2015-06-02 02:59:00,7,2877
288,AZ5330,6713,6781,2015-06-01 09:22:00,2015-06-01 20:56:00,7,2880
289,AZ5407,5903,4424,2015-06-01 23:25:00,2015-06-02 02:48:00,7,2875
290,AZ6198,6159,4718,2015-06-01 14:29:00,2015-06-01 15:59:00,7,2873
291,AZ6570,992,9474,2015-06-01 02:52:00,2015-06-01 16:17:00,7,2875
292,AZ6611,8173,6040,2015-06-01 03:55:00,2015-06-01 14:28:00,7,2873
293,AZ6819,12924,6659,2015-06-01 00:15:00,2015-06-01 12:15:00,7,2884
294,AZ7026,9986,5811,2015-06-01 08:10:00,2015-06-01 20:59:00,7,2874
295,AZ7862,2213,9287,2015-06-01 10:03:00,2015-06-02 06:09:00,7,2872
296,AZ8240,7083,8409,2015-06-01 01:36:00,2015-06-01 22:53:00,7,2877
297,AZ8700,3299,11800,2015-06-01 00:28:00,2015-06-01 20:06:00,7,2883
298,AZ9480,4542,4134,2015-06-01 12:06:00,2015-06-01 23:05:00,7,2881
299,AZ9607,3877,6961,2015-06-01 21:42:00,2015-06-02 03:38:00,7,2877
300,BA1075,9687,600,2015-06-01 13:22:00,2015-06-01 19:22:00,8,1540
301,BA1153,1695,9182,2015-06-01 00:40:00,2015-06-01 07:50:00,8,1564
302,BA1229,13527,1059,2015-06-01 04:29:00,2015-06-01 13:37:00,8,1590
303,BA1240,815,6220,2015-06-01 00:40:00,2015-06-01 12:55:00,8,1537
304,BA1290,1692,2175,2015-06-01 18:11:00,2015-06-02 12:43:00,8,1558
305,BA1296,11530,10284,2015-06-01 11:10:00,2015-06-01 23:51:00,8,1594
306,BA1357,10055,9639,2015-06-01 20:43:00,2015-06-02 07:16:00,8,1548
307,BA1554,8888,4711,2015-06-01 20:52:00,2015-06-02 07:26:00,8,1546
308,BA1656,10619,10156,2015-06-01 12:22:00,2015-06-01 23:25:00,8,1559
309,BA1880,8457,3937,2015-06-01 13:04:00,2015-06-01 22:35:00,8,1544
310,BA1954,8020,871,2015-06-01 14:25:00,2015-06-02 02:23:00,8,1595
311,BA2151,7359,6394,2015-06-01 20:57:00,2015-06-02 11:50:00,8,1600
312,BA2689,13134,7288,2015-06-01 13:18:00,2015-06-02 02:29:00,8,1572
313,BA2752,1088,8281,2015-06-01 23:29:00,2015-06-02 03:44:00,8,1558
314,BA2823,12025,7013,2015-06-01 03:27:00,2015-06-01 18:25:00,8,1596
315,BA3041,10962,5664,2015-06-01 19:33:00,2015-06-01 21:45:00,8,1544
316,BA3076,9453,6618,2015-06-01 05:58:00,2015-06-01 09:04:00,8,1580
317,BA3079,3164,1150,2015-06-01 00:13:00,2015-06-01 19:01:00,8,1586
