flightno,from,to,departure,arrival,airline_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday
AF3281,4808,11309,19:47:00,22:53:00,1,0,0,1,0,0,0,0
AF3430,9290,5924,02:58:00,15:04:00,1,1,0,0,0,0,1,1
AF3554,12782,3841,16:02:00,01:22:00,1,0,1,0,1,1,1,1
AF3676,9603,1121,20:30:00,07:00:00,1,1,1,1,0,1,1,0
AF3736,8976,5035,19:32:00,09:09:00,1,0,0,0,1,0,1,0
AF3742,12011,4832,17:32:00,11:38:00,1,0,1,1,1,0,0,1
AF3795,6834,11762,10:03:00,01:22:00,1,0,1,0,0,1,0,0
AF3844,11622,9991,07:38:00,04:31:00,1,0,1,1,0,0,1,1
AF3861,964,8701,02:23:00,10:01:00,1,0,1,1,0,0,0,1
AF3985,10749,6709,22:33:00,15:43:00,1,1,1,1,0,0,0,0
AF4041,7556,13159,09:23:00,10:44:00,1,1,0,0,0,0,0,1
AF4056,13045,3305,09:35:00,04:49:00,1,1,0,0,1,1,0,1
AF4126,7425,4877,20:42:00,10:27:00,1,1,0,1,1,0,0,1
AF4264,13218,8436,04:11:00,22:44:00,1,1,0,0,1,1,0,0
AF4288,12548,6575,18:31:00,08:36:00,1,1,0,0,1,0,1,0
AF4429,7876,10227,00:11:00,03:53:00,1,1,0,0,0,0,1,1
AF4515,9581,3974,16:00:00,02:51:00,1,0,1,0,0,1,0,0
AF4531,3593,3261,23:52:00,10:57:00,1,1,0,0,0,1,0,0
AF4599,9338,9111,09:37:00,23:03:00,1,1,1,0,1,0,1,1
AF4641,1749,1063,05:01:00,09:50:00,1,1,1,0,0,1,1,0
AF5102,7406,12519,23:32:00,13:51:00,1,0,1,1,0,0,1,1
AF5143,10141,9049,21:07:00,12:48:00,1,1,0,0,0,0,1,1
AF5169,5459,2107,06:51:00,07:46:00,1,0,1,0,1,1,1,0
AF5175,1132,10115,02:33:00,00:20:00,1,0,1,0,0,0,0,0
AF5320,3779,481,06:11:00,18:31:00,1,1,1,1,0,0,1,1
AF5448,1108,2852,23:26:00,10:06:00,1,1,1,0,0,1,0,0
AF5505,11981,3631,21:09:00,23:45:00,1,0,1,0,0,1,1,0
AF5511,1889,4828,06:12:00,07:50:00,1,0,1,0,0,1,1,1
AF5675,10081,10681,16:20:00,19:03:00,1,1,1,0,0,1,1,1
AF5764,4114,11503,04:38:00,16:09:00,1,0,0,1,1,0,0,1
AF5788,6225,7349,10:42:00,22:27:00,1,1,0,1,0,1,1,1
AF5847,4340,9773,08:35:00,05:32:00,1,0,0,0,0,1,1,1
AF6043,8223,9378,07:20:00,04:59:00,1,0,0,0,1,0,0,1
AF6095,11122,9958,15:20:00,08:43:00,1,0,1,1,1,1,1,0
AF6210,62,2787,19:00:00,20:46:00,1,0,0,0,0,0,0,1
AF6285,3,2574,11:19:00,00:26:00,1,0,1,1,0,1,1,0
AF6471,8623,13530,20:40:00,06:57:00,1,0,0,0,1,0,0,1
AF6511,8190,3267,19:20:00,06:25:00,1,0,0,1,1,0,1,1
AF6754,12940,397,02:10:00,17:09:00,1,0,1,1,0,0,0,0
AF6773,7529,11395,10:02:00,00:57:00,1,0,1,0,0,1,0,1
AF6873,387,8267,16:44:00,05:44:00,1,0,0,0,0,1,1,0
AF7021,10399,12286,22:54:00,07:27:00,1,1,1,0,1,0,0,0
AF7180,12294,12047,19:30:00,22:20:00,1,0,1,0,1,1,1,1
AF7210,3112,6373,19:13:00,08:00:00,1,1,1,0,1,1,0,0
AF7245,8173,9046,18:12:00,22:42:00,1,1,0,0,1,1,0,1
AF7424,4051,8289,17:56:00,14:20:00,1,0,1,1,1,1,1,1
AF7487,9679,3521,07:31:00,19:18:00,1,1,1,0,0,1,0,1
AF7568,7051,10949,17:32:00,00:46:00,1,1,0,1,0,0,0,0
AF7629,1680,12767,23:26:00,16:44:00,1,1,0,1,0,1,0,1
AF7889,5455,1778,01:26:00,04:34:00,1,1,1,1,0,1,0,1
AF7939,3002,13136,18:28:00,04:28:00,1,0,1,0,1,1,0,1
AF8012,8601,999,09:39:00,18:55:00,1,0,1,0,0,0,1,1
AF8286,12329,11974,14:12:00,09:38:00,1,0,0,1,0,1,1,1
AF8329,11249,12890,12:58:00,21:15:00,1,1,1,0,1,0,0,0
AF8380,10447,11161,12:31:00,15:18:00,1,1,0,0,1,1,0,0
AF8467,8109,6670,05:16:00,19:17:00,1,1,0,1,0,0,0,0
AF8582,2520,314,14:27:00,08:08:00,1,0,0,1,1,1,1,0
AF8676,1690,1962,02:39:00,04:50:00,1,1,0,1,0,0,0,0
AF8716,1692,2993,12:23:00,01:04:00,1,1,1,0,0,0,0,1
AF8780,12294,9055,06:30:00,14:54:00,1,1,1,1,0,0,0,1
AF9029,2043,5410,06:13:00,17:07:00,1,0,1,1,0,0,0,0
AF9140,7876,11207,13:25:00,04:11:00,1,0,0,1,0,0,1,1
AF9213,555,11112,02:29:00,16:43:00,1,1,0,1,0,0,1,0
AF9336,8436,7633,14:37:00,04:27:00,1,1,0,0,1,0,0,1
AF9434,3605,8634,07:13:00,01:29:00,1,0,0,0,1,1,1,1
AF9482,1732,1219,07:13:00,21:39:00,1,1,0,1,0,0,0,0
AF9511,209,13392,09:09:00,18:35:00,1,1,1,1,1,0,0,1
AF9700,220,10900,12:00:00,20:52:00,1,1,1,1,1,0,0,1
AF9835,446,8544,20:52:00,10:33:00,1,1,1,1,0,1,1,0
AL1015,2927,12173,14:24:00,21:49:00,2,0,1,1,0,1,1,1
AL1017,6053,9555,08:14:00,10:16:00,2,1,0,0,1,0,1,0
AL1028,6135,9347,21:09:00,11:38:00,2,1,1,0,1,1,0,1
AL1073,12330,1918,14:34:00,02:59:00,2,1,0,0,1,0,0,1
AL1163,11280,12458,18:09:00,05:48:00,2,1,0,1,0,1,0,1
AL1184,6053,9900,11:00:00,01:15:00,2,1,0,1,1,0,0,0
AL1206,7304,9003,09:04:00,02:20:00,2,0,0,1,1,0,0,1
AL1242,9555,6287,12:33:00,16:52:00,2,1,1,1,0,1,0,0
AL1445,13112,721,01:25:00,16:33:00,2,1,0,0,0,1,0,0
AL1462,3292,4768,19:40:00,02:42:00,2,0,1,1,0,1,0,0
AL1496,9859,109,01:39:00,09:47:00,2,1,1,1,1,1,0,0
AL1547,10363,2810,16:04:00,18:35:00,2,1,0,1,1,1,0,0
AL1565,6689,2310,20:00:00,10:26:00,2,1,1,1,0,0,1,0
AL1747,11239,7240,05:12:00,19:24:00,2,0,1,0,0,1,0,0
AL1905,12844,2046,08:36:00,19:36:00,2,1,0,0,0,1,1,1
AL1933,3380,11199,18:33:00,00:48:00,2,1,1,1,0,0,0,0
AL2193,8359,6596,03:30:00,00:18:00,2,1,1,1,0,0,0,0
AL2266,4490,10232,15:21:00,02:56:00,2,1,0,0,1,1,1,0
AL2289,3477,4163,18:28:00,06:30:00,2,1,1,1,0,1,1,1
AL2437,3028,9566,12:01:00,03:57:00,2,1,1,1,1,0,1,1
AL2570,4365,3401,03:57:00,06:26:00,2,1,1,1,1,0,1,1
AL2668,7455,6708,20:06:00,06:54:00,2,1,1,1,1,1,1,1
AL2821,6262,7220,03:36:00,16:36:00,2,1,1,1,0,0,1,1
AL2872,6093,11185,04:07:00,00:57:00,2,0,0,0,1,1,1,0
AL2946,1133,4686,03:13:00,10:14:00,2,1,0,0,0,0,0,0
AL3161,885,5103,20:01:00,16:25:00,2,1,1,0,0,0,0,1
AL3435,8740,8137,00:21:00,15:41:00,2,0,0,1,0,0,1,1
AL3457,10872,12673,00:00:00,21:06:00,2,0,0,1,1,1,1,1
AL3990,8851,12808,01:50:00,12:12:00,2,1,1,0,0,1,1,1
AL4015,3817,8685,19:30:00,10:32:00,2,1,1,0,1,1,0,1
AL4073,3255,7750,19:15:00,23:29:00,2,0,0,1,0,1,1,1
AL4082,13165,988,22:43:00,23:18:00,2,1,1,1,0,1,0,1
AL4117,4337,7450,07:04:00,20:54:00,2,0,0,0,0,0,0,1
AL4189,8111,4904,15:25:00,00:22:00,2,1,0,0,0,1,1,1
AL4382,5999,11233,22:15:00,10:23:00,2,0,1,1,1,1,1,0
AL4631,10231,5039,20:14:00,23:13:00,2,0,1,0,1,1,1,1
AL4718,3063,2525,18:14:00,10:01:00,2,0,1,1,1,0,1,1
AL4779,2469,4227,15:13:00,04:28:00,2,1,0,1,0,0,0,1
AL4815,8866,9645,06:30:00,17:00:00,2,1,1,1,1,0,1,0
AL5028,10874,4156,19:04:00,12:30:00,2,1,0,1,1,0,0,0
AL5050,1596,1067,11:29:00,17:18:00,2,0,0,1,1,1,1,0
AL5125,9820,5515,06:24:00,09:31:00,2,1,1,0,0,1,1,0
AL5150,10447,9054,02:12:00,13:56:00,2,0,0,0,1,1,0,0
AL5198,11766,10230,22:32:00,00:59:00,2,1,1,1,1,1,1,0
AL5208,5023,3514,01:09:00,09:04:00,2,0,1,0,1,1,1,0
AL5358,4728,6113,00:56:00,17:08:00,2,0,1,0,0,1,0,1
AL5621,13483,7197,13:34:00,18:51:00,2,1,1,1,0,1,0,1
AL5626,802,219,14:32:00,23:54:00,2,0,1,0,1,0,1,1
AL5630,5500,11000,11:18:00,22:05:00,2,1,1,1,0,0,0,0
AL5736,1259,13067,19:06:00,04:59:00,2,0,1,1,1,1,0,1
AL5843,8731,569,04:42:00,17:45:00,2,0,1,0,1,1,1,1
AL6297,2478,1647,05:54:00,15:56:00,2,1,1,0,0,1,0,1
AL6306,13301,11564,14:14:00,20:27:00,2,0,0,0,1,0,1,1
AL6613,10630,5260,01:38:00,14:45:00,2,1,1,0,0,1,0,0
AL6672,11255,4074,17:19:00,17:56:00,2,1,1,0,1,1,1,0
AL6694,9159,10623,07:36:00,19:20:00,2,0,1,0,0,1,1,1
AL6705,5299,3198,00:39:00,04:36:00,2,1,0,0,1,0,1,0
AL6753,3555,11347,12:50:00,14:34:00,2,0,1,1,0,1,1,1
AL6991,2957,13462,13:03:00,02:37:00,2,1,1,1,0,1,0,1
AL7291,12255,11291,23:25:00,09:48:00,2,1,0,0,1,0,0,1
AL7416,473,11209,16:04:00,02:11:00,2,0,1,0,1,1,1,1
AL7715,7170,1423,15:56:00,17:25:00,2,1,1,1,1,1,0,1
AL7772,9015,35,16:15:00,06:47:00,2,1,1,1,0,1,1,1
AL7932,336,8753,14:59:00,03:17:00,2,0,0,1,0,0,0,0
AL8051,5040,12180,17:59:00,03:55:00,2,1,0,0,0,1,0,0
AL8189,1700,12666,23:12:00,10:06:00,2,1,1,1,0,0,1,0
AL8273,9368,7535,19:33:00,01:52:00,2,0,0,1,0,1,0,0
AL8444,9788,3470,16:59:00,21:28:00,2,0,0,1,1,1,0,0
AL8463,954,4514,11:08:00,18:23:00,2,0,0,0,0,0,0,1
AL8474,7861,5506,03:49:00,09:22:00,2,0,1,0,1,0,1,1
AL8645,6781,5979,11:09:00,03:44:00,2,0,0,1,0,0,1,0
AL8719,12692,2342,09:40:00,20:38:00,2,1,0,0,1,0,1,1
AL9073,6719,9412,07:56:00,18:40:00,2,1,1,1,1,1,0,0
AL9094,9922,10032,11:04:00,21:59:00,2,0,0,1,1,1,1,0
AL9204,4446,8002,19:07:00,11:56:00,2,0,1,0,0,1,1,1
AL9299,11878,2213,06:39:00,10:46:00,2,1,0,1,0,0,1,1
AL9372,12392,6464,17:24:00,18:03:00,2,0,1,0,1,1,0,0
AL9386,1403,3067,03:11:00,20:26:00,2,1,0,0,0,0,0,0
AL9423,12476,9671,08:35:00,09:04:00,2,1,1,0,0,1,0,1
AL9477,9060,410,08:09:00,19:00:00,2,1,0,0,1,0,1,0
AL9637,10931,10447,16:34:00,02:04:00,2,1,1,1,1,1,1,1
AL9745,10411,282,11:49:00,21:26:00,2,1,1,1,1,0,1,0
AL9851,4546,2199,11:03:00,15:23:00,2,1,0,0,1,1,1,0
AL9953,13474,12611,03:38:00,21:01:00,2,1,1,1,1,1,1,0
AM1058,11175,7350,00:46:00,04:16:00,3,0,0,1,1,0,0,1
AM1107,5940,4356,06:27:00,16:50:00,3,0,0,1,1,0,1,0
AM1241,6300,9691,09:25:00,01:57:00,3,1,0,1,0,1,1,1
AM1246,12718,12961,07:26:00,20:25:00,3,1,0,1,0,1,1,0
AM1517,5101,5707,06:17:00,22:25:00,3,0,1,1,1,0,1,0
AM1659,12389,2658,19:06:00,05:13:00,3,1,0,1,1,0,1,0
AM1756,11218,4722,03:20:00,19:57:00,3,0,0,1,0,1,0,1
AM1781,1874,10790,20:04:00,02:39:00,3,0,0,1,1,0,1,1
AM1816,6826,1218,07:58:00,22:59:00,3,0,1,0,0,1,0,1
AM1899,328,2731,03:19:00,22:10:00,3,0,0,1,0,1,0,1
AM2041,553,12359,07:08:00,09:00:00,3,1,0,0,0,1,0,1
AM2046,3647,2600,01:50:00,11:29:00,3,1,1,0,1,1,1,1
AM2098,1091,5708,00:23:00,20:40:00,3,0,1,0,0,0,0,1
AM2479,5160,11868,21:26:00,08:49:00,3,1,0,1,0,1,0,1
AM3034,9084,2216,01:10:00,02:52:00,3,1,0,1,1,1,0,0
AM3379,5585,11270,03:24:00,06:12:00,3,1,1,0,0,1,0,0
AM3462,8105,2334,12:32:00,01:58:00,3,0,1,1,1,0,0,0
AM3587,3041,9045,02:22:00,21:49:00,3,1,1,1,0,1,1,0
AM3671,12430,9665,01:48:00,20:36:00,3,0,1,1,0,1,1,1
AM3828,196,10313,18:00:00,19:44:00,3,0,0,1,0,0,0,1
AM3872,1717,9421,07:09:00,04:27:00,3,0,0,1,0,0,1,1
AM4133,7968,11398,10:18:00,22:54:00,3,0,1,1,1,0,0,1
AM4744,9250,11978,15:25:00,20:12:00,3,1,0,1,1,1,1,0
AM4982,11234,12392,02:28:00,12:26:00,3,1,1,1,0,0,0,0
AM4998,6764,1796,06:01:00,19:13:00,3,1,0,0,0,1,1,1
AM5116,5118,5032,02:20:00,15:16:00,3,1,1,1,0,1,1,0
AM5136,9358,5904,11:19:00,15:03:00,3,1,0,0,1,0,1,0
AM5153,4661,3671,23:20:00,11:52:00,3,0,1,0,1,1,1,0
AM5188,4395,2873,14:36:00,02:33:00,3,1,1,1,1,0,0,0
AM5320,697,8928,09:08:00,11:20:00,3,0,1,1,1,0,0,1
AM5626,4540,4164,05:30:00,17:39:00,3,1,1,0,1,1,1,0
AM5825,528,2039,16:29:00,07:41:00,3,1,1,1,1,0,0,1
AM5831,1664,6297,23:38:00,01:56:00,3,1,1,0,0,1,0,1
AM6317,7943,1546,03:08:00,03:32:00,3,1,1,0,1,1,0,1
AM6427,7145,5523,00:04:00,19:36:00,3,1,1,1,0,1,1,0
AM6443,4864,12681,14:03:00,07:41:00,3,1,1,1,0,0,0,1
AM6612,716,4278,00:30:00,13:36:00,3,0,0,0,1,0,0,1
AM6746,6638,9343,02:56:00,12:01:00,3,1,0,1,1,1,0,1
AM6843,1366,3529,05:39:00,06:41:00,3,1,1,0,0,0,1,0
AM6854,4834,9911,06:20:00,07:05:00,3,0,0,0,1,1,0,1
AM6879,500,5048,22:25:00,08:59:00,3,0,0,0,1,1,1,1
AM7092,6930,8436,11:06:00,23:14:00,3,1,1,1,0,1,1,1
AM7100,10399,3011,05:53:00,20:47:00,3,1,0,1,1,0,0,1
AM7134,6129,12124,04:16:00,15:09:00,3,1,1,0,0,1,0,0
AM7194,9945,462,20:25:00,10:37:00,3,0,1,0,1,0,1,0
AM7321,5511,5718,12:30:00,07:47:00,3,1,0,0,1,0,0,1
AM7378,13218,2661,17:17:00,07:11:00,3,0,1,0,1,0,0,0
AM7520,1020,7504,07:45:00,08:58:00,3,0,1,1,0,0,1,0
AM8003,13010,10857,02:25:00,14:10:00,3,1,1,1,1,0,0,1
AM8295,6228,9918,06:04:00,11:34:00,3,1,1,1,0,1,0,0
AM8429,6776,537,07:29:00,00:31:00,3,1,1,0,0,0,1,1
AM8544,12765,1905,02:27:00,21:42:00,3,0,0,0,1,1,0,1
AM8556,7849,2891,11:47:00,23:27:00,3,0,0,1,1,1,0,0
AM8612,6834,7051,02:52:00,13:48:00,3,0,1,1,0,1,1,1
AM8723,11881,10457,22:31:00,15:36:00,3,0,0,0,1,0,0,1
AM8756,9218,2724,04:35:00,19:33:00,3,1,0,1,1,1,0,0
AM8807,11428,5882,02:54:00,23:11:00,3,1,1,1,1,0,0,0
AM8843,10383,8181,01:31:00,15:53:00,3,0,0,1,0,1,1,1
AM8870,1340,10677,07:42:00,15:37:00,3,1,0,0,1,0,1,0
AM9034,3399,7606,23:46:00,15:49:00,3,0,0,1,0,1,0,1
AM9059,5775,12038,05:31:00,16:56:00,3,1,0,0,0,1,1,0
AM9153,7703,6347,10:04:00,11:59:00,3,1,0,0,0,0,1,0
AM9291,4206,199,13:07:00,23:33:00,3,1,1,1,0,1,0,1
AM9317,979,3206,15:26:00,12:22:00,3,0,0,1,1,0,1,0
AM9379,6836,4683,21:36:00,00:15:00,3,1,1,1,0,0,1,1
AM9449,5011,6953,05:34:00,17:57:00,3,0,0,1,1,1,0,1
AM9483,10345,38,22:51:00,09:27:00,3,0,0,1,1,1,0,1
AM9516,7771,11058,07:18:00,18:03:00,3,0,1,1,0,1,1,1
AN1018,4343,3013,04:35:00,16:34:00,4,1,1,1,0,1,1,0
AN1052,11865,10207,14:31:00,01:09:00,4,0,1,0,0,0,1,1
AN1079,13574,7269,11:04:00,02:01:00,4,1,0,0,0,1,1,1
AN1080,1979,465,05:03:00,23:45:00,4,0,1,1,1,1,1,0
AN1127,427,10485,19:38:00,08:10:00,4,0,0,1,0,0,1,0
AN1148,8516,13161,16:14:00,18:53:00,4,1,0,0,0,0,0,1
AN1181,6752,5714,04:34:00,16:13:00,4,1,1,0,1,1,0,0
AN1195,13049,10154,10:39:00,17:36:00,4,0,0,1,0,1,0,0
AN1250,6279,5801,10:46:00,03:47:00,4,1,1,1,0,0,0,1
AN1303,5856,313,06:54:00,13:17:00,4,1,0,0,0,0,1,0
AN1327,8792,2496,00:37:00,14:47:00,4,1,0,1,0,1,1,1
AN1357,7367,97,05:29:00,16:24:00,4,1,0,1,0,0,1,0
AN1361,9354,8070,10:30:00,12:43:00,4,1,1,1,0,1,0,0
AN1559,8082,5847,15:30:00,22:24:00,4,1,1,1,0,1,0,0
AN1635,5585,5365,14:43:00,05:42:00,4,1,0,1,1,1,1,1
AN1865,1762,8509,20:38:00,08:03:00,4,0,1,1,1,0,1,1
AN1966,11790,10731,18:15:00,21:00:00,4,1,0,1,1,0,1,0
AN2109,11291,11636,23:22:00,10:49:00,4,0,0,0,0,1,1,0
AN2320,3459,6930,22:36:00,19:10:00,4,1,1,1,1,0,0,1
AN2405,6596,12454,22:52:00,02:23:00,4,1,1,1,0,1,1,1
AN2447,11663,6496,07:17:00,17:51:00,4,1,0,1,1,1,1,0
AN2706,4893,5168,05:02:00,07:16:00,4,1,1,1,0,1,1,1
AN2813,617,12633,18:34:00,01:14:00,4,1,0,1,1,0,0,1
AN2983,10858,12858,23:07:00,12:07:00,4,1,1,1,1,0,1,0
AN3026,13293,3113,05:30:00,22:02:00,4,0,0,0,1,1,0,0
AN3245,12068,929,21:16:00,09:27:00,4,1,1,1,0,0,0,1
AN3548,3143,9003,05:46:00,19:54:00,4,0,0,0,1,1,0,1
AN3632,7051,3029,01:14:00,19:10:00,4,0,0,0,1,1,1,1
AN4105,10196,7859,16:58:00,13:01:00,4,1,1,0,0,0,1,1
AN4188,7081,943,05:30:00,19:13:00,4,1,1,0,1,0,1,1
AN4301,1023,4117,13:10:00,00:39:00,4,1,1,1,1,0,1,0
AN4318,4374,1665,22:31:00,12:14:00,4,1,1,1,1,1,0,1
AN4477,1456,12124,09:13:00,09:58:00,4,1,0,1,1,0,0,1
AN4803,8431,3644,08:33:00,19:57:00,4,0,0,1,1,0,0,1
AN5319,5325,6947,06:33:00,13:11:00,4,0,1,0,1,1,0,0
AN5320,11373,3716,21:12:00,08:47:00,4,0,0,1,1,0,1,1
AN5368,2391,6438,05:11:00,19:18:00,4,0,1,0,1,0,1,0
AN5615,1033,1492,21:07:00,08:56:00,4,1,0,1,0,1,0,1
AN5731,6095,11093,09:35:00,10:02:00,4,0,0,0,0,1,0,0
AN5831,9236,3529,12:00:00,17:36:00,4,0,0,0,1,0,1,1
AN5834,3442,10804,00:56:00,14:28:00,4,1,0,1,1,0,1,1
AN5932,11974,4177,01:33:00,07:03:00,4,1,1,1,1,0,0,0
AN6131,7672,13501,20:22:00,17:58:00,4,0,0,0,1,1,0,0
AN6142,7288,2181,07:20:00,18:35:00,4,1,1,1,1,1,1,0
AN6313,40,9214,01:28:00,15:01:00,4,1,1,1,1,0,0,0
AN6503,11130,10065,15:30:00,17:48:00,4,0,1,1,1,0,1,1
AN6671,8052,1376,11:37:00,13:17:00,4,0,0,1,1,0,0,0
AN6729,7255,9813,05:55:00,20:23:00,4,1,1,0,0,0,0,0
AN7167,3687,2548,04:26:00,13:34:00,4,1,1,1,0,0,0,1
AN7181,13574,5031,12:43:00,14:51:00,4,1,1,1,1,1,0,0
AN7183,13504,13106,22:53:00,15:59:00,4,0,0,1,0,1,1,0
AN7227,6648,6451,12:50:00,23:31:00,4,0,1,1,0,1,0,0
AN7391,10046,5790,01:22:00,03:04:00,4,1,0,0,0,0,1,0
AN7471,13561,2343,07:50:00,11:26:00,4,0,0,1,1,0,1,1
AN7491,3761,1131,12:09:00,19:06:00,4,1,0,0,1,1,0,1
AN7888,206,13346,12:00:00,12:29:00,4,1,1,0,0,0,0,1
AN8115,7499,6784,11:57:00,16:37:00,4,0,1,0,1,1,0,0
AN8127,1952,13274,14:32:00,00:34:00,4,0,1,0,1,1,0,0
AN8133,11353,2470,09:13:00,22:59:00,4,1,1,1,1,1,1,0
AN8178,10203,3025,09:11:00,21:14:00,4,0,1,1,1,0,0,1
AN8469,2588,9744,16:02:00,04:20:00,4,0,1,0,1,0,1,1
AN8787,922,2736,05:22:00,14:45:00,4,1,0,1,1,1,1,0
AN8947,10958,7148,22:25:00,01:46:00,4,1,0,0,0,0,1,0
AN8979,2173,13021,03:04:00,05:13:00,4,1,0,1,0,1,1,0
AN9101,11426,12434,09:37:00,13:09:00,4,1,0,1,0,1,0,0
AN9256,2548,8330,08:11:00,22:22:00,4,0,0,0,1,1,0,1
AN9273,2927,9042,12:12:00,20:43:00,4,0,0,0,1,0,0,1
AN9471,10178,3836,06:02:00,12:48:00,4,0,0,0,1,1,1,1
AN9601,10916,12663,19:06:00,20:36:00,4,0,0,0,1,1,1,1
AN9619,13276,12816,06:54:00,17:42:00,4,0,0,1,1,1,1,0
AN9758,5469,884,22:47:00,08:47:00,4,0,1,1,1,1,0,0
AN9819,4669,11713,10:35:00,13:43:00,4,0,0,1,0,1,1,0
AN9864,10067,7286,08:39:00,22:10:00,4,1,0,0,1,0,1,0
AN9927,9925,8564,07:26:00,14:05:00,4,1,0,0,0,1,1,0
AN9932,7363,11278,21:31:00,19:17:00,4,0,1,1,0,0,1,0
AN9967,9293,3805,17:09:00,09:15:00,4,0,1,0,0,0,1,0
AN9994,2339,11634,09:20:00,02:59:00,4,1,1,0,0,0,0,1
AR1131,9820,9769,18:18:00,01:42:00,5,0,0,0,1,0,1,1
AR1140,6709,7221,19:38:00,04:03:00,5,0,1,0,1,0,0,0
AR1368,5447,384,15:44:00,08:03:00,5,1,1,1,0,1,0,0
AR1426,3472,5927,21:31:00,01:56:00,5,1,0,1,1,1,0,1
AR1457,2653,7234,16:18:00,17:45:00,5,0,1,0,0,0,1,0
AR1527,8825,4667,13:37:00,02:22:00,5,0,0,0,1,1,0,0
AR1537,2730,9512,03:02:00,08:57:00,5,0,1,0,1,0,0,0
AR1555,8904,12428,01:22:00,18:08:00,5,0,0,0,0,0,1,0
AR1612,11687,11102,02:46:00,11:53:00,5,0,0,0,1,0,1,0
AR1667,7015,11057,13:00:00,02:13:00,5,0,0,0,0,1,0,1
AR1679,1652,8686,13:46:00,09:19:00,5,1,0,1,0,1,1,0
AR1728,4695,3561,13:12:00,23:02:00,5,0,1,0,1,0,1,1
AR1732,7950,9646,04:53:00,06:50:00,5,1,0,1,0,1,1,0
AR1794,3136,11180,09:17:00,17:20:00,5,0,0,0,0,1,1,1
AR1821,12651,2704,04:59:00,08:45:00,5,0,1,0,0,0,0,0
AR1842,1688,10599,23:01:00,00:14:00,5,0,1,0,1,1,1,1
AR1856,12224,3414,17:19:00,10:53:00,5,1,1,1,0,1,1,1
AR2090,1839,10918,12:10:00,03:30:00,5,1,0,1,1,0,0,1
AR2204,651,10797,01:31:00,17:08:00,5,0,1,1,0,1,1,0
AR2221,2522,9831,08:16:00,05:02:00,5,0,1,0,1,0,0,1
AR2319,6367,8195,20:04:00,05:47:00,5,1,0,0,0,1,0,0
AR2481,1248,6444,08:04:00,23:17:00,5,1,1,1,0,0,1,0
AR2555,2022,12719,16:35:00,08:36:00,5,1,0,1,0,0,0,0
AR2642,5616,2441,06:32:00,11:14:00,5,1,1,0,0,1,1,1
AR2690,7149,4847,10:25:00,07:22:00,5,1,0,1,1,1,0,0
AR2722,10431,6918,03:34:00,23:45:00,5,0,0,1,0,0,1,1
AR2801,2608,3482,09:04:00,02:51:00,5,1,1,1,0,1,1,0
AR2952,2716,12215,01:14:00,13:06:00,5,1,1,1,1,0,0,1
AR2983,3825,9683,20:04:00,08:33:00,5,1,0,0,0,1,0,1
AR3082,10744,8419,20:35:00,10:12:00,5,1,1,0,0,1,1,0
AR3189,4892,3561,03:30:00,07:31:00,5,0,1,1,0,1,0,1
